element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ca	1	"431.865"	""	"431.8652"	""	"22"	"7.4e+07"	C+	"1.8989349"	"4.7690284"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4p2"	"3P"	"1"	5	3		"T539n,T654n,LS"	"L6097"	
Ca	3	"432.8225"	"0.0018"	"432.8209"	"0.0007"	"40"	"3.4e+06"	C	"40.252768"	"43.116524"	"3s2.3p5.(2P*<3/2>).4d"	"2[7/2]*"	"3"	"3s2.3p5.(2P*<3/2>).4f"	"2[5/2]"	"2"	7	5		"u33"	"L1405"	
Ca	3	"432.9185"	"0.0018"	"432.9182"	"0.0015"	"490"	"3.0e+08"	B	"43.149989"	"46.013101"	"3s2.3p5.(2P*<3/2>).4f"	"2[7/2]"	"3"	"3s2.3p5.(2P*<3/2>).5g"	"2[9/2]*"	"4"	7	9		"u33"	"L1405"	
Ca	3	"433.2065"	"0.0018"	"433.2076"	"0.0008"	"41"	"9.6e+06"	B	"40.128113"	"42.989313"	"3s2.3p5.(2P*<3/2>).4d"	"2[3/2]*"	"2"	"3s2.3p5.(2P*<3/2>).4f"	"2[3/2]"	"1"	5	3		"u33"	"L1405"	
Ca	3	"433.3567"	"0.0018"	"433.3566"	"0.0013"	"480"	"3.1e+08"	B	"43.152931"	"46.013147"	"3s2.3p5.(2P*<3/2>).4f"	"2[7/2]"	"4"	"3s2.3p5.(2P*<3/2>).5g"	"2[9/2]*"	"5"	9	11		"u33"	"L1405"	
Ca	3	"434.0343"	"0.0018"	"434.0345"	"0.0013"	"80"	"4.4e+07"	B	"43.149989"	"46.005738"	"3s2.3p5.(2P*<3/2>).4f"	"2[7/2]"	"3"	"3s2.3p5.(2P*<3/2>).5g"	"2[7/2]*"	"3"	7	7		"u33"	"L1405"	
Ca	3	"434.4817"	"0.0018"	"434.4808"	"0.0019"	"34"	"4.5e+07"	B	"43.152931"	"46.005747"	"3s2.3p5.(2P*<3/2>).4f"	"2[7/2]"	"4"	"3s2.3p5.(2P*<3/2>).5g"	"2[7/2]*"	"4"	9	9		"u33"	"L1405"	
Ca	1	"435.508"	""	"435.5079"	""	"20"	"1.9e+07"	D	"2.7090094"	"5.5550969"	"3p6.3d.4s"	"1D"	"2"	"3p6.4s.5f"	"1F*"	"3"	5	7		"T539n"	"L6097"	
Ca	3	"435.8379"	"0.0018"	"435.8366"	"0.0011"	"410"	"1.17e+08"	B	"40.662119"	"43.506060"	"3s2.3p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"	"3s2.3p5.(2P*<1/2>).4f"	"2[5/2]"	"2"	3	5		"u33"	"L1405"	
Ca	3	"436.9249"	"0.0018"	"436.9268"	"0.0013"	"21"	""		"42.321906"	"45.158751"	"3s2.3p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"3s2.3p5.(2P*<1/2>).6s"	"2[1/2]*"	"0"	3	1		""	"L1405"	
Ca	3	"438.2997"	"0.0018"	"438.2993"	"0.0012"	"25"	"8.5e+06"	B	"40.678098"	"43.506060"	"3s2.3p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"	"3s2.3p5.(2P*<1/2>).4f"	"2[5/2]"	"2"	5	5		"u33"	"L1405"	
Ca	3	"439.3109"	"0.0018"	"439.3099"	"0.0008"	"33"	"4.4e+06"	B	"40.252768"	"43.074224"	"3s2.3p5.(2P*<3/2>).4d"	"2[7/2]*"	"3"	"3s2.3p5.(2P*<3/2>).4f"	"2[5/2]"	"3"	7	7		"u33"	"L1405"	
Ca	3	"439.5895"	"0.0018"	"439.584"	"0.003"	"60"	""		"42.353183"	"45.172880"	"3s2.3p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<1/2>).6s"	"2[1/2]*"	"1"	5	3		""	"L1405"	
Ca	3	"439.9594"	"0.0018"	"439.9584"	"0.0010"	"800"	"2.03e+08"	B	"40.252768"	"43.070066"	"3s2.3p5.(2P*<3/2>).4d"	"2[7/2]*"	"3"	"3s2.3p5.(2P*<3/2>).4f"	"2[9/2]"	"4"	7	9		"u33"	"L1405"	
