element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Mg	2	"310.4809"	"310.4805"	"8"	"7.44e+07"	A	"8.863762"	"12.855904"	"2p6.3d"	"2D"	"3/2"	"2p6.5f"	"2F*"	"5/2"	4	6		"c31"	"L7414"	
Mg	3	"312.6380"	"312.6381"	"9"	""		"65.83101"	"69.79560"	"2s2.2p5.3d"	"3P*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	5	5		""	"L6095"	
Mg	3	"315.4336"	"315.4318"	"8"	""		"66.08001"	"70.00949"	"2s2.2p5.3d"	"1F*"	"3"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"2"	7	5		""	"L1434"	
Mg	3	"315.6506"	"315.6519"	"2"	""		"65.83101"	"69.75775"	"2s2.2p5.3d"	"3P*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"1"	5	3		""	"L1434"	
Mg	2	"316.5878"	"316.5879"	"3"	"2.89e+06"	B	"9.995544"	"13.910676"	"2p6.4p"	"2P*"	"1/2"	"2p6.7d"	"2D"	"3/2"	2	4		"c31"	"L6095"	
Mg	3	"316.7251"	"316.7240"	"2"	""		"66.04957"	"69.96302"	"2s2.2p5.3d"	"3F*"	"2"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"1"	5	3		""	"L1434"	
Mg	2	""	"316.8941"	""	"5.69e+05"	C+	"9.999328"	"13.910676"	"2p6.4p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"3/2"	4	4		"c31"	""	
Mg	2	"316.8951"	"316.8954"	"6"	"3.43e+06"	B	"9.999328"	"13.910661"	"2p6.4p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"5/2"	4	6		"c31"	"L7414"	
Mg	2	"317.2706"	"317.2708"	"6"	"3.41e+06"	B	"9.995544"	"13.902249"	"2p6.4p"	"2P*"	"1/2"	"2p6.8s"	"2S"	"1/2"	2	2		"c31"	"L7414"	
Mg	2	"317.5783"	"317.5784"	"7"	"6.81e+06"	B	"9.999328"	"13.902249"	"2p6.4p"	"2P*"	"3/2"	"2p6.8s"	"2S"	"1/2"	4	2		"c31"	"L7414"	
Mg	1	"319.7625"	"319.76246"	"2"	""		"2.7115919"	"6.5878560"	"3s.3p"	"3P*"	"1"	"3s.4d"	"1D"	"2"	3	5		""	"L6095"	
Mg	1	"320.1796"	"320.17943"	"3"	""		"2.7166398"	"6.5878560"	"3s.3p"	"3P*"	"2"	"3s.4d"	"1D"	"2"	5	5		""	"L6095"	
Mg	3	"320.6948"	"320.6957"	"2"	""		"65.83101"	"69.69599"	"2s2.2p5.3d"	"3P*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	5	5		""	"L1434"	
Mg	3	"321.3845"	"321.3844"	"3"	""		"65.93890"	"69.79560"	"2s2.2p5.3d"	"3F*"	"3"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	7	5		""	"L1434"	
Mg	3	"329.9050"	"329.9053"	"12"	""		"65.93890"	"69.69599"	"2s2.2p5.3d"	"3F*"	"3"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	7	5		""	"L6095"	
Mg	3	"330.6392"	"330.6397"	"13"	""		"65.90541"	"69.65416"	"2s2.2p5.3d"	"3F*"	"4"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	9	7		""	"L1434"	
Mg	3	"332.1060"	"332.1050"	"8"	""		"66.23207"	"69.96428"	"2s2.2p5.3d"	"3D*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"0"	3	1		""	"L1434"	
Mg	1	"332.9919"	"332.99194"	"17"	"3.09e+06"	D+	"2.7091049"	"6.4313736"	"3s.3p"	"3P*"	"0"	"3s.5s"	"3S"	"1"	1	3		"T6298c72,LS"	"L6095"	
Mg	1	"333.2146"	"333.21458"	"19"	"1.02e+07"	B	"2.7115919"	"6.4313736"	"3s.3p"	"3P*"	"1"	"3s.5s"	"3S"	"1"	3	3		"T4391"	"L6095"	
Mg	3	"333.5905"	"333.5900"	"12"	""		"66.08001"	"69.79560"	"2s2.2p5.3d"	"1F*"	"3"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	7	5		""	"L1434"	
Mg	3	"333.6190"	"333.6201"	"5"	""		"65.93890"	"69.65416"	"2s2.2p5.3d"	"3F*"	"3"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	7	7		""	"L1434"	
Mg	1	"333.6674"	"333.66740"	"20"	"1.70e+07"	B	"2.7166398"	"6.4313736"	"3s.3p"	"3P*"	"2"	"3s.5s"	"3S"	"1"	5	3		"T4391"	"L6095"	
Mg	3	"334.2577"	"334.2570"	"11"	""		"66.04957"	"69.75775"	"2s2.2p5.3d"	"3F*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"1"	5	3		""	"L1434"	
Mg	3	"334.4899"	"334.4896"	"2"	""		"66.30389"	"70.00949"	"2s2.2p5.3d"	"1D*"	"2"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"2"	5	5		""	"L1434"	
Mg	3	"335.3729"	"335.3739"	"7"	""		"65.73372"	"69.42955"	"2s2.2p5.3d"	"3P*"	"0"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	1	3		""	"L1434"	
Mg	3	"336.1412"	"336.1396"	"12"	""		"66.32207"	"70.00949"	"2s2.2p5.3d"	"3D*"	"3"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"2"	7	5		""	"L1434"	
Mg	3	"338.1236"	"338.1235"	"10"	""		"65.76377"	"69.42955"	"2s2.2p5.3d"	"3P*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	3	3		""	"L1434"	
Mg	3	"338.2901"	"338.2894"	"11"	""		"66.35381"	"70.01779"	"2s2.2p5.3d"	"3D*"	"2"	"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"1"	5	3		""	"L1434"	
Mg	3	"338.7368"	"338.7376"	"11"	""		"66.30389"	"69.96302"	"2s2.2p5.3d"	"1D*"	"2"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"1"	5	3		""	"L1434"	
Mg	3	"339.0577"	"339.0582"	"2"	""		"66.35381"	"70.00949"	"2s2.2p5.3d"	"3D*"	"2"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"2"	5	5		""	"L1434"	
Mg	3	"339.9188"	"339.9182"	"9"	""		"66.04957"	"69.69599"	"2s2.2p5.3d"	"3F*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	5	5		""	"L1434"	
Mg	3	"342.7794"	"342.7796"	"1"	""		"66.08001"	"69.69599"	"2s2.2p5.3d"	"1F*"	"3"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	7	5		""	"L1434"	
