element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
K	2	"401.210"	"0.003"	"401.2013"	"0.0023"	"5"	"4.37e+07"		"20.238213"	"23.327664"	"3p5.4s"	"3P*"	"1"	"3p5.4p"	"1D"	"2"	3	5		"T8304"	"L3490"	
K	2	"401.752"	"0.003"	"401.7527"	"0.0023"	"4"	"6.75e+07"		"23.573202"	"26.658413"	"3p5.4p"	"3P"	"1"	"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	3	3		"T8304"	"L3490"	
K	2	"402.488"	"0.003"	"402.4903"	"0.0023"	"4"	"1.10e+08"		"23.327664"	"26.407221"	"3p5.4p"	"1D"	"2"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	5	3		"T8304"	"L3490"	
K	2	"403.969"	"0.003"	"403.9671"	"0.0023"	"4"	"4.08e+07"		"20.394409"	"23.462708"	"3p5.3d"	"3P*"	"1"	"3p5.4p"	"1P"	"1"	3	3		"T8304"	"L3490"	
K	2	"404.259"	"0.003"	"404.2611"	"0.0023"	"6"	"9.30e+07"		"20.448453"	"23.514521"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"3P"	"2"	5	5		"T8304"	"L3490"	
K	1	"404.4136"	""	"404.41422"	"0.00008"	"18"	"1.15e+06"	A	"0.00000000"	"3.0649066"	"3p6.4s"	"2S"	"1/2"	"3p6.5p"	"2P*"	"3/2"	2	4		"T5436n"	"L3287"	
K	1	"404.7208"	""	"404.72132"	"0.00008"	"17"	"1.07e+06"	B+	"0.00000000"	"3.0625810"	"3p6.4s"	"2S"	"1/2"	"3p6.5p"	"2P*"	"1/2"	2	2		"T5436n"	"L3287"	
K	2	"406.523"	"0.003"	"406.522"	"0.004"	"4"	"2.30e+07"		"23.573202"	"26.622222"	"3p5.4p"	"3P"	"1"	"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	3	1		"T8304"	"L3490"	
K	2	"409.369"	"0.003"	"409.3698"	"0.0024"	"5"	"1.60e+08"		"23.327664"	"26.355470"	"3p5.4p"	"1D"	"2"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	5	5		"T8304"	"L3490"	
K	2	"411.214"	"0.003"	"411.2103"	"0.0024"	"4"	"1.36e+07"		"20.448453"	"23.462708"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"1P"	"1"	5	3		"T8304"	"L3490"	
