ritz_wavenumber_cm_inv,ritz_unc_cm_inv,measured_wavenumber_cm_inv,measured_unc_cm_inv,relative_intensity,species,lower_level_energy,lower_J,upper_level_energy,upper_J,reference
7734.71238,0.00022,7734.7140,0.0006,19,Th I,19713,3,27447,2_odd,EHW03
7734.90047,0.00016,7734.8990,0.0006,23,Th I,26096,3_odd,33831,4,EHW03
7735.87640,0.00014,7735.8757,0.0007,11,Th I,24259,4_odd,31995,4,EHW03
7737.20799,0.00019,7737.2080,0.0004,140,Th I,26723,6_odd,34460,5,EHW03
7737.64412,0.00020,7737.6452,0.0007,13,Th I,18549,2,26287,1_odd,EHW03
7738.24651,0.00013,7738.24640,0.00020,240,Th I,24274,5_odd,32012,4,KNS08
7739.6315,0.0006,7739.63200,0.00020,210,Th I,29097,1,36837,1_odd,KNS08
7739.63237,0.00008,7739.63200,0.00020,210,Th I,15863,2,23603,2_odd,KNS08
7740.6900,0.0003,7740.6896,0.0006,33,Th III,11123,1_odd,18863,2,EHW03
7742.6073,0.0014,7742.6073,0.0008,8400,Ne I,150859,2,158601,2_odd,SBS
7742.6564,0.0003,7742.650,0.003,0,Th I,24210,4,31953,4_odd,GBCZ74
7744.3628,0.0005,7744.3691,0.0006,80,Th I,31019,4_odd,38763,5,PE83
-,-,7748.008,0.013,1,Ar I,114862,0_odd,122610,1,95WHA
7748.66506,0.00024,7748.6650,0.0005,59,Th II,9711,7/2,17460,5/2_odd,EHW03
7749.1012,0.0003,7749.1015,0.0008,9,Th II,21682,7/2_odd,29431,7/2,EHW03
7749.67172,0.00009,7749.6714,0.0004,120,Th I,19817,1_odd,27566,2,EHW03
7750.50393,0.00009,7750.50398,0.00017,630,Th I,20522,2_odd,28273,2,PE83
7756.92174,0.00005,7756.9218,0.0005,75,Th I,19039,2_odd,26796,3,EHW03
7757.5400,0.0014,7757.5378,0.0010,14,Ne I,151038,1,158796,1_odd,SBS
7760.82550,0.00013,7760.825,0.003,240,Th I,21890,3_odd,29650,2,Z76
7761.3670,0.0003,7761.360,0.003,0,Th I,24399,3,32160,2_odd,GBCZ74
7765.11251,0.00013,7765.1128,0.0006,25,Th I,17073,1,24838,1_odd,EHW03
7765.75589,0.00008,7765.7553,0.0006,41,Th I,20214,3_odd,27980,3,EHW03
-,-,7765.8412,0.0010,28,Ar I,113426,2_odd,121192,2,95WHA
7766.24993,0.00010,7766.2496,0.0003,150,Th I,10783,2_odd,18549,2,KNS08
7767.5075,0.0012,7767.506,0.005,12,Ne II,246397,3/2,254164,3/2_odd,Q94
7768.6845,0.0003,7768.6836,0.0008,9,Th I,28321,5_odd,36089,4,EHW03
7769.81015,0.00007,7769.8123,0.0007,76,Th I,21165,3_odd,28934,3,PE83
7769.91102,0.00005,7769.91099,0.00006,3800,Th I,19227,6_odd,26997,6,PE83
7770.8686,0.0008,7770.8686,0.0008,115,Ne II,246394,5/2,254164,3/2_odd,Q94
7771.0660,0.0014,7771.0649,0.0012,11,Ne I,162518,1,170289,2_odd,SBS
7771.4488,0.0016,7771.4510,0.0018,7,Ne I,162518,1,170289,2_odd,SBS
7772.92958,0.00005,7772.92959,0.00015,810,Th I,16217,2_odd,23990,2,PE83
7777.49411,0.00018,7777.4942,0.0006,41,Th I,25321,3_odd,33099,3,EHW03
7778.1344,0.0014,7778.1360,0.0024,5,Ne I,162518,1,170296,1_odd,SBS
7781.89835,0.00016,7781.9007,0.0005,43,Th I,24769,3_odd,32551,3,EHW03
7782.58996,0.00010,7782.5894,0.0006,39,Th I,15970,3,23752,2_odd,EHW03
7784.97410,0.00016,7784.9737,0.0005,67,Th I,19532,4,27317,3_odd,EHW03
7787.30991,0.00004,7787.3099,0.0004,98,Th I,15490,5_odd,23277,5,KNS08
7788.13412,0.00015,7788.1324,0.0006,25,Th I,19273,2,27061,2_odd,EHW03
7789.22960,0.00013,7789.2293,0.0004,110,Th I,21143,5,28932,4_odd,EHW03
7791.45484,0.00015,7791.4548,0.0007,13,Th I,10783,2_odd,18574,1,EHW03
7791.77174,0.00008,7791.7716,0.0003,170,Th I,20566,4_odd,28358,3,KNS08
7792.7705,0.0003,7792.765,0.003,0,Th I,26651,2_odd,34444,2,GBCZ74
7793.08641,0.00014,7793.0867,0.0006,23,Th I,24202,4_odd,31995,4,EHW03
7793.65141,0.00012,7793.6515,0.0007,15,Th I,22338,3_odd,30132,2,EHW03
7794.04307,0.00009,7794.04290,0.00020,220,Th I,17959,4,25753,5_odd,KNS08
7796.99675,0.00020,7796.9967,0.0006,19,Th I,25809,1_odd,33606,2,EHW03
7799.5490,0.0007,7799.5477,0.0011,36,Th I,32285,3_odd,40084,3,PE83
7799.6302,0.0009,7799.6288,0.0012,31,Th I,34851,2_odd,42651,3,PE83
-,-,7802.1372,0.0004,65,Ar I,113468,2_odd,121271,2,95WHA
-,-,7808.6924,0.0003,52481,Ar I,105617,2,113426,2_odd,95WHA
7810.39328,0.00012,7810.3935,0.0005,93,Th I,24202,4_odd,32012,4,EHW03
7811.2365,0.0004,7811.228,0.003,0,Th I,27297,1_odd,35108,2,GBCZ74
7812.6546,0.0003,7812.6544,0.0008,9,Th I,27061,2_odd,34874,3,EHW03
-,-,7813.1253,0.0005,59,Ar I,114822,3_odd,122635,2,95WHA
-,-,7815.5221,0.0012,26,Ar I,114975,1_odd,122791,0,95WHA
7819.2414,0.0003,7819.2442,0.0007,11,Th II,24757,9/2_odd,32576,7/2,EHW03
7820.88770,0.00020,7820.8877,0.0003,447,Ar II,189415,7/2_odd,181594,5/2,95WHA
7821.18670,0.00006,7821.1868,0.0006,31,Th I,13847,2,21668,1_odd,EHW03
7821.32972,0.00006,7821.3301,0.0005,79,Th I,18069,3_odd,25890,2,EHW03
7821.33051,0.00018,7821.3301,0.0005,79,Th I,22465,0_odd,30286,1,EHW03
7821.62232,0.00006,7821.62231,0.00017,620,Th I,15166,3_odd,22988,2,PE83
7927.80186,0.00011,7927.8016,0.0004,100,Th I,20522,2_odd,28450,1,KNS08
7931.41517,0.00006,7931.4152,0.0004,110,Th I,18431,3,26363,2_odd,EHW03
7931.7059,0.0014,7931.7077,0.0009,550,Ne I,161607,2_odd,169539,3,SBS
7932.2480,0.0014,7932.2485,0.0013,18,Ne I,163708,1,171640,2_odd,SBS
7933.1606,0.0007,7933.1631,0.0007,15,Th I,28884,3_odd,36818,2,EHW03
7933.16529,0.00005,7933.1631,0.0007,15,Th I,19588,5_odd,27521,4,EHW03
7933.5551,0.0016,7933.523,0.010,13,Ne I,163709,2,171642,2_odd,MKBB
7933.72160,0.00014,7933.7213,0.0007,11,Th I,23603,2_odd,31537,3,EHW03
7933.8465,0.0018,7933.8475,0.0012,32,Ne I,163709,2,171642,3_odd,SBS
-,-,7936.7262,0.0003,447,Ar I,113717,3_odd,121653,4,95WHA
7937.4845,0.0014,7937.4840,0.0009,1600,Ne I,150859,2,158796,1_odd,SBS
-,-,7937.6789,0.0008,20,Ar I,113717,3_odd,121654,3,95WHA
7939.44187,0.00019,7939.4416,0.0005,61,Th II,16818,7/2,24757,9/2_odd,EHW03
7940.2141,0.0003,7940.2134,0.0008,7,Th I,22988,2,30928,1_odd,EHW03
7940.40501,0.00006,7940.4076,0.0009,5,Th I,12114,2_odd,20054,2,EHW03
7941.97271,0.00011,7941.97250,0.00020,290,Th I,20737,1_odd,28679,2,KNS08
7942.2626,0.0014,7942.2634,0.0009,850,Ne I,161592,3_odd,169534,4,SBS
7944.0453,0.0014,7944.0453,0.0009,1200,Ne I,161590,4_odd,169534,5,SBS
7944.91659,0.00011,7944.9161,0.0005,55,Th I,21890,3_odd,29835,3,EHW03
7945.1564,0.0003,7945.1565,0.0006,39,Th I,28188,6_odd,36133,5,EHW03
7946.80164,0.00008,7946.8018,0.0005,65,Th I,15970,3,23916,4_odd,EHW03
7946.8594,0.0014,7946.8610,0.0025,6,Ne I,161592,3_odd,169539,2,SBS
7946.89274,0.00011,7946.8927,0.0005,75,Th I,21902,4_odd,29849,4,EHW03
7948.6256,0.0014,7948.627,0.003,8,Ne I,161590,4_odd,169539,3,SBS
7949.3126,0.0003,7949.3130,0.0006,21,Th I,28518,7_odd,36467,7,EHW03
7950.8542,0.0014,7950.8554,0.0009,96*,Ne I,161592,3_odd,169543,3,SBS
7950.8572,0.0014,7950.8554,0.0009,96*,Ne I,161592,3_odd,169543,4,SBS
7952.20446,0.00012,7952.2037,0.0004,120,Th I,18699,2,26651,2_odd,KNS08
7952.6360,0.0014,7952.6375,0.0010,130,Ne I,161590,4_odd,169543,4,SBS
7954.2753,0.0003,7954.2751,0.0005,87,Th I,11877,1_odd,19832,1,EHW03
7957.17955,0.00011,7957.1804,0.0006,19,Th I,17398,3,25355,4_odd,EHW03
7957.93069,0.00012,7957.9308,0.0005,73,Th I,19713,3,27670,3_odd,EHW03
7958.0407,0.0004,7958.0406,0.0007,17,Th I,27087,1_odd,35046,1,EHW03
7958.62292,0.00012,7958.6230,0.0004,110,Th I,18549,2,26508,3_odd,EHW03
7958.86884,0.00007,7958.8689,0.0006,31,Th I,14204,5,22163,4_odd,EHW03
7959.7560,0.0016,7959.7566,0.0010,48,Ne I,162899,2,170859,3_odd,SBS
7960.33498,0.00011,7960.3348,0.0005,59,Th I,20922,2_odd,28882,2,EHW03
-,-,7963.2024,0.0003,1288,Ar I,105463,3,113426,2_odd,95WHA
7964.02661,0.00006,7964.02661,0.00015,750,Th I,19227,6_odd,27191,5,PE83
7964.17392,0.00013,7964.17384,0.00020,350,Th I,23306,6_odd,31271,5,KNS08
-,-,7968.6515,0.0011,19,Ar I,114641,2_odd,122610,1,95WHA
7968.91570,0.00020,7968.9157,0.0013,13,Ar II,199139,3/2,191170,3/2_odd,95WHA
7971.68741,0.00013,7971.6877,0.0004,110,Th I,23655,4_odd,31626,5,EHW03
7973.7355,0.0014,7973.7361,0.0019,15,Ne I,162899,2,170873,2_odd,SBS
7980.4259,0.0003,7980.4257,0.0004,100,Th I,21143,5,29123,5_odd,EHW03
7983.59736,0.00004,7983.5954,0.0005,49,Th I,8800,4,16783,4_odd,EHW03
7984.8854,0.0016,7984.8864,0.0011,21,Ne I,163657,1,171642,2_odd,SBS
7985.50154,0.00014,7985.5022,0.0005,65,Th I,19986,6_odd,27971,5,EHW03
7986.18880,0.00006,7986.1885,0.0003,170,Th I,18809,4_odd,26796,3,KNS08
7989.80836,0.00019,7989.8081,0.0006,37,Th I,25575,4_odd,33564,3,EHW03
7991.35860,0.00010,7991.3583,0.0006,35,Th I,24032,4,32023,5_odd,EHW03
7992.0520,0.0003,7992.0520,0.0007,27,Ar II,194883,7/2_odd,186891,5/2,95WHA
7992.44562,0.00006,7992.4452,0.0004,120,Th I,19503,3_odd,27495,4,KNS08
7992.71268,0.00018,7992.7131,0.0006,25,Th I,23201,3,31194,4_odd,EHW03
7995.9075,0.0003,7995.9078,0.0007,15,Th I,26878,3_odd,34874,3,EHW03
7996.04104,0.00007,7996.0411,0.0004,120,Th I,20566,4_odd,28562,4,KNS08
7996.6219,0.0010,7996.6218,0.0011,66,Ne II,282375,3/2,290371,5/2_odd,Q94
7998.01122,0.00021,7998.0112,0.0004,110,Th I,27084,6_odd,35082,6,EHW03
8005.06826,0.00006,8005.0680,0.0005,59,Th I,19039,2_odd,27044,3,EHW03
-,-,8005.7125,0.0003,75858,Ar I,105463,3,113468,2_odd,95WHA
8006.2934,0.0014,8006.3104,0.0009,450*,Ne I,161524,1_odd,169530,1,SBS
8006.3123,0.0014,8006.3104,0.0009,450*,Ne I,161524,1_odd,169530,2,SBS
8011.02349,0.00019,8011.0238,0.0006,39,Th II,9711,7/2,17722,9/2_odd,EHW03
8012.36536,0.00003,8012.36521,0.00010,1600,Th I,3865,1,11877,1_odd,PE83
8013.00507,0.00007,8013.0047,0.0003,210,Th I,20214,3_odd,28227,4,KNS08
8013.9126,0.0005,8013.9123,0.0007,15,Th II,26647,13/2_odd,34661,11/2,EHW03
8014.24953,0.00005,8014.2495,0.0004,110,Th I,11802,2,19817,1_odd,EHW03
8014.8055,0.0014,8014.8240,0.0019,23*,Ne I,161524,1_odd,169539,2,SBS
8014.8414,0.0014,8014.8240,0.0019,23*,Ne I,162518,1,170533,2_odd,SBS
8015.08182,0.00022,8015.0818,0.0007,17,Th I,24381,2_odd,32396,2,EHW03
8016.19317,0.00014,8016.1928,0.0006,27,Th I,23521,3_odd,31537,3,EHW03
8016.49803,0.00023,8016.5008,0.0008,7,Th I,25442,3_odd,33459,4,EHW03
8017.54961,0.00004,8017.54955,0.00017,710,Th I,10414,4_odd,18431,3,KNS08
8017.9491,0.0003,8017.9491,0.0005,47,Th II,11576,3/2_odd,19594,1/2,EHW03
8019.21283,0.00015,8019.2133,0.0006,33,Th I,24274,5_odd,32293,5,EHW03
8020.23759,0.00006,8020.2374,0.0003,190,Th I,20322,5_odd,28342,5,KNS08
8020.8349,0.0003,8020.8325,0.0007,72,Th I,27087,1_odd,35108,2,PE83
8020.8368,0.0014,8020.8372,0.0009,160,Ne I,161510,0_odd,169530,1,SBS
8022.6495,0.0004,8022.6484,0.0007,15,Th II,15324,1/2_odd,23346,3/2,EHW03
8022.86087,0.00009,8022.86072,0.00019,390,Th I,10526,3_odd,18549,2,KNS08
8023.8806,0.0014,8023.8796,0.0010,4300,Ne I,150772,1,158796,1_odd,SBS
8024.7318,0.0003,8024.7320,0.0005,71,Th II,19912,13/2_odd,27937,11/2,EHW03
-,-,8025.9891,0.0003,45709,Ar I,105617,2,113643,1_odd,95WHA
8026.41104,0.00018,8026.4115,0.0007,13,Th I,24769,3_odd,32796,3,EHW03
8027.02213,0.00010,8027.0221,0.0004,170,Th I,20423,1_odd,28450,1,EHW03
8027.7600,0.0014,8027.7596,0.0009,75,Ne I,162831,3,170858,4_odd,SBS
8027.82966,0.00006,8027.8294,0.0004,93,Th I,15493,4,23521,3_odd,KNS08
8031.55017,0.00006,8031.55001,0.00014,850,Th I,11241,3_odd,19273,2,PE83
8032.29068,0.00008,8032.2915,0.0006,29,Th I,19948,4_odd,27980,3,EHW03
8032.90811,0.00006,8032.90780,0.00020,200,Th I,15736,1_odd,23769,1,KNS08
8035.08938,0.00004,8035.08941,0.00014,840,Th I,15166,3_odd,23201,3,PE83
8035.97252,0.00015,8035.9726,0.0004,130,Th I,24701,5_odd,32737,5,EHW03
8036.51801,0.00013,8036.5181,0.0005,43,Th I,22508,2_odd,30544,2,EHW03
-,-,8036.8245,0.0003,70795,Ar I,104102,1,112139,2_odd,95WHA
8037.95064,0.00017,8037.9510,0.0008,7,Th I,22248,2_odd,30286,1,EHW03
8040.51026,0.00019,8040.5105,0.0006,35,Th I,21645,4,29686,3_odd,EHW03
8042.36217,0.00009,8042.3621,0.0006,37,Th I,13847,2,21890,3_odd,EHW03
8042.5254,0.0014,8042.5253,0.0019,18,Ne I,162831,3,170873,3_odd,SBS
8043.31778,0.00007,8043.3176,0.0005,49,Th I,17847,2_odd,25890,2,EHW03
8046.4133,0.0003,8046.407,0.003,0,Th I,26384,4_odd,34431,3,GBCZ74
8047.84092,0.00007,8047.84078,0.00019,410,Th I,19986,6_odd,28034,5,KNS08
8048.47959,0.00023,8048.4791,0.0005,45,Th II,21297,5/2_odd,29345,5/2,EHW03
-,-,8049.3109,0.0003,178,Ar I,112139,2_odd,120188,1,95WHA
-,-,8049.7238,0.0003,1698,Ar I,112139,2_odd,120189,2,95WHA
8049.87320,0.00009,8049.8733,0.0007,72,Th I,19516,2_odd,27566,2,PE83
8050.66217,0.00018,8050.6628,0.0007,13,Th I,14465,2_odd,22515,2,EHW03
8052.46602,0.00005,8052.46602,0.00010,1500,Th I,16346,4_odd,24399,3,PE83
8053.09072,0.00024,8053.0904,0.0005,55,Th I,25355,4_odd,33408,3,EHW03
8056.5525,0.0003,8056.5518,0.0006,27,Th II,23697,7/2_odd,31754,5/2,EHW03
8056.6139,0.0014,8056.613,0.003,4,Ne I,159535,1_odd,167591,2,SBS
8057.7078,0.0005,8057.7072,0.0008,32,Ar II,200032,3/2,191975,3/2_odd,95WHA
8058.28845,0.00009,8058.2881,0.0005,75,Th I,20214,3_odd,28273,2,EHW03
-,-,8060.4720,0.0003,60256,Ar I,106087,1,114148,1_odd,95WHA
8060.51684,0.00024,8060.525,0.003,0,Th II,9061,5/2,17121,3/2_odd,GBCZ74
8061.7790,0.0003,8061.7801,0.0007,17,Th I,27087,1_odd,35149,2,EHW03
8062.08625,0.00020,8062.0861,0.0004,170,Th II,6213,9/2,14275,9/2_odd,EHW03
8063.50800,0.00013,8063.5080,0.0005,59,Th II,1521,5/2,9585,5/2_odd,EHW03
8063.71014,0.00008,8063.71000,0.00020,230,Th I,19503,3_odd,27566,2,KNS08
8064.37809,0.00006,8064.3778,0.0006,31,Th I,21077,5_odd,29141,5,EHW03
8067.0425,0.0003,8067.0425,0.0006,40,Ar II,194883,7/2_odd,186816,7/2,95WHA
8069.4763,0.0014,8069.480,0.003,3,Ne I,159380,0_odd,167449,1,SBS
8074.15332,0.00005,8074.1535,0.0003,240,Th I,12847,3,20922,2_odd,KNS08
8075.4223,0.0003,8075.4231,0.0007,17,Th II,23697,7/2_odd,31773,9/2,EHW03
8075.4617,0.0004,8075.4615,0.0006,23,Th II,27526,9/2,35602,11/2_odd,EHW03
8076.34159,0.00009,8076.3414,0.0006,33,Th I,18431,3,26508,3_odd,EHW03
8076.45432,0.00012,8076.4541,0.0005,67,Th I,17959,4,26036,3_odd,EHW03
-,-,8076.828,0.003,13,Ar I,114641,2_odd,122718,3,95WHA
8077.21769,0.00017,8077.2186,0.0006,33,Th I,18574,1,26651,2_odd,EHW03
8077.94733,0.00016,8077.9476,0.0006,27,Th I,25753,5_odd,33831,4,EHW03
8078.70240,0.00020,8078.7024,0.0015,15,Ar II,191170,3/2_odd,183091,3/2,95WHA
8079.98967,0.00021,8079.9893,0.0006,23,Th I,25526,1_odd,33606,2,EHW03
8080.23236,0.00014,8080.2323,0.0003,370,Th II,4490,5/2_odd,12570,7/2,EHW03
8080.55693,0.00018,8080.5568,0.0004,100,Th I,24701,5_odd,32781,4,EHW03
8083.2735,0.0003,8083.2728,0.0006,29,Th I,24210,4,32294,4_odd,EHW03
8085.61295,0.00006,8085.6133,0.0005,55,Th I,19948,4_odd,28034,5,EHW03
8086.74635,0.00024,8086.7450,0.0006,23,Th I,25321,3_odd,33408,3,EHW03
8087.46535,0.00013,8087.4653,0.0006,37,Th I,21645,4,29733,5_odd,EHW03
8088.64713,0.00009,8088.6486,0.0004,140,Th I,17959,4,26048,4_odd,EHW03
-,-,8090.8290,0.0003,6026,Ar I,112139,2_odd,120230,3,95WHA
8090.96604,0.00023,8090.9659,0.0005,87,Th II,12219,3/2,20310,5/2_odd,EHW03
-,-,8091.1393,0.0003,457,Ar I,112139,2_odd,120230,2,95WHA
8091.35960,0.00013,8091.3569,0.0006,31,Th I,24202,4_odd,32293,5,EHW03
8092.622,0.003,8092.621,0.006,11,Ne II,294333,1/2_odd,302425,3/2,Q94
8093.65328,0.00009,8093.6535,0.0003,210,Th I,22877,5_odd,30971,4,KNS08
8095.29086,0.00010,8095.2906,0.0004,100,Th I,19516,2_odd,27612,3,EHW03
8096.06043,0.00012,8096.0603,0.0006,31,Th I,23916,4_odd,32012,4,EHW03
8096.2014,0.0003,8096.2025,0.0006,29,Th I,25321,3_odd,33418,4,EHW03
8098.66228,0.00017,8098.6614,0.0008,9,Th I,21645,4,29744,3_odd,EHW03
-,-,8099.2838,0.0003,16596,Ar I,105617,2,113717,3_odd,95WHA
8100.5331,0.0003,8100.5333,0.0005,53,Th I,28518,7_odd,36618,7,EHW03
8102.42260,0.00014,8102.4230,0.0006,23,Th I,18549,2,26651,2_odd,EHW03
8102.82589,0.00003,8102.82592,0.00008,2200,Th I,6362,2,14465,2_odd,PE83
8107.55699,0.00009,8107.5568,0.0005,47,Th I,20423,1_odd,28531,2,EHW03
8108.60758,0.00010,8108.6073,0.0004,99,Th I,22399,5_odd,30508,5,EHW03
8109.07846,0.00011,8109.0786,0.0005,73,Th I,21902,4_odd,30011,3,EHW03
8109.12780,0.00009,8109.1263,0.0005,45,Th I,19503,3_odd,27612,3,EHW03
8111.33082,0.00021,8111.327,0.003,0,Th I,21575,2,29686,3_odd,GBCZ74
8112.05926,0.00016,8112.0600,0.0006,21,Th I,21902,4_odd,30014,4,EHW03
8113.08838,0.00015,8113.0888,0.0005,45,Th I,24850,6_odd,32963,5,EHW03
8113.92830,0.00006,8113.9285,0.0003,180,Th I,18930,3_odd,27044,3,KNS08
8115.65296,0.00018,8115.6531,0.0005,45,Th II,12570,7/2,20686,5/2_odd,EHW03
8115.94832,0.00010,8115.94830,0.00020,280,Th I,15493,4,23609,5_odd,KNS08
8116.55345,0.00024,8116.5536,0.0003,220,Th III,7921,1_odd,16037,2,PE83
8116.69697,0.00004,8116.6963,0.0005,89,Th I,7502,3,15618,3_odd,EHW03
8117.05465,0.00011,8117.0542,0.0005,67,Th I,24084,6_odd,32201,5,EHW03
8118.30308,0.00017,8118.3023,0.0006,21,Th I,24981,3_odd,33099,3,EHW03
8119.45558,0.00013,8119.4555,0.0004,150,Th I,23655,4_odd,31774,3,EHW03
8121.21573,0.00011,8121.2160,0.0004,190,Th I,21890,3_odd,30011,3,PE83
8123.0686,0.0007,8123.0685,0.0007,42,Ar II,155351,3/2_odd,147228,1/2,95WHA
8123.1703,0.0013,8123.170,0.004,18,Ne II,282680,1/2,290803,1/2_odd,Q94
8125.38934,0.00022,8125.3889,0.0005,43,Th I,26723,6_odd,34849,5,EHW03
8130.55547,0.00017,8130.5558,0.0006,27,Th I,24421,3_odd,32551,3,EHW03
8131.17145,0.00009,8131.1721,0.0005,85,Th I,16783,4_odd,24915,3,EHW03
8132.51595,0.00024,8132.5156,0.0006,35,Th I,27084,6_odd,35216,5,EHW03
8137.50688,0.00023,8137.5069,0.0005,49,Th II,20686,5/2_odd,28823,5/2,EHW03
8138.54532,0.00012,8138.5463,0.0006,33,Th I,19532,4,27670,3_odd,EHW03
8142.5735,0.0005,8142.5737,0.0007,13,Th I,31141,5_odd,39283,4,EHW03
8143.31650,0.00020,8143.3170,0.0006,29,Th II,7001,3/2,15144,3/2_odd,EHW03
8143.46558,0.00008,8143.4663,0.0006,35,Th I,20214,3_odd,28358,3,EHW03
-,-,8145.0032,0.0022,12,Ar I,113020,3_odd,121165,3,95WHA
8145.17056,0.00011,8145.1703,0.0005,95,Th I,20737,1_odd,28882,2,EHW03
8146.80092,0.00010,8146.8010,0.0005,89,Th I,16554,6,24701,5_odd,EHW03
8152.0848,0.0003,8152.0875,0.0006,27,Th I,22401,1,30553,2_odd,EHW03
8152.08843,0.00015,8152.0875,0.0006,27,Th I,23113,4_odd,31265,3,EHW03
8152.88054,0.00004,8152.8800,0.0005,51,Th I,13945,3_odd,22098,4,EHW03
8153.10797,0.00011,8153.1079,0.0005,87,Th I,22399,5_odd,30552,4,EHW03
8156.54508,0.00012,8156.5452,0.0004,130,Th I,20522,2_odd,28679,2,EHW03
8157.45413,0.00015,8157.4518,0.0006,19,Th I,23113,4_odd,31271,5,EHW03
8160.1329,0.0003,8160.1335,0.0007,13,Th II,22834,7/2,30994,7/2_odd,EHW03
8161.57681,0.00005,8161.57674,0.00018,560,Th I,18809,4_odd,26971,4,PE83
8163.61460,0.00018,8163.606,0.003,0,Th I,25442,3_odd,33606,2,GBCZ74
8164.04171,0.00005,8164.0416,0.0003,190,Th I,13088,3,21252,2_odd,KNS08
8164.38040,0.00025,8164.3803,0.0004,250,Th II,16818,7/2,24982,7/2_odd,EHW03
8165.78758,0.00011,8165.7867,0.0006,29,Th I,21252,2_odd,29418,2,EHW03
8169.48193,0.00020,8169.4811,0.0006,37,Th I,21252,2_odd,29422,1,EHW03
8169.48284,0.00019,8169.4811,0.0006,37,Th I,21575,2,29744,3_odd,EHW03
8170.00455,0.00012,8170.0045,0.0004,100,Th I,14226,0,22396,1_odd,EHW03
8170.39325,0.00016,8170.3934,0.0007,17,Th I,17166,5,25336,6_odd,EHW03
8171.07373,0.00013,8171.0735,0.0005,53,Th I,23603,2_odd,31774,3,EHW03
-,-,8171.4486,0.0004,95,Ar I,113020,3_odd,121192,2,95WHA
8172.24174,0.00004,8172.24175,0.00011,1400,Th I,14465,2_odd,22637,3,PE83
8172.6854,0.0020,8172.687,0.003,26,Ne II,283322,3/2,291495,5/2_odd,Q94
8173.07901,0.00004,8173.07904,0.00005,6100,Th I,10526,3_odd,18699,2,PE83
8174.82054,0.00007,8174.8203,0.0005,45,Th I,7795,4_odd,15970,3,EHW03
8175.5241,0.0003,8175.527,0.003,0,Th I,22637,3,30812,2_odd,GBCZ74
8176.64990,0.00011,8176.6501,0.0005,45,Th I,17398,3,25575,4_odd,EHW03
8176.93206,0.00005,8176.93198,0.00018,710,Th I,11877,1_odd,20054,2,KNS08
8178.53837,0.00008,8178.5383,0.0005,79,Th I,18699,2,26878,3_odd,EHW03
8181.63360,0.00005,8181.635,0.003,300,Th I,16217,2_odd,24399,3,Z76
8183.46818,0.00015,8183.4668,0.0005,61,Th I,24274,5_odd,32458,4,EHW03
-,-,8185.7576,0.0012,23,Ar I,113468,2_odd,121654,3,95WHA
8186.51652,0.00006,8186.5166,0.0004,110,Th I,18069,3_odd,26255,4,EHW03
8189.47009,0.00011,8189.4700,0.0004,130,Th I,17166,5,25355,4_odd,EHW03
8189.85194,0.00003,8189.85185,0.00010,1500,Th I,3687,2,11877,1_odd,PE83
8192.5732,0.0003,8192.5735,0.0006,31,Th I,19832,1,28024,1_odd,EHW03
8194.0079,0.0003,8194.0078,0.0005,43,Th II,18568,1/2_odd,26762,3/2,EHW03
8195.12217,0.00016,8195.1223,0.0006,25,Th I,23015,5_odd,31210,6,EHW03
8195.7887,0.0003,8195.7889,0.0019,14,Ar II,199139,3/2,190943,1/2_odd,95WHA
8196.42908,0.00017,8196.4289,0.0006,27,Th I,23049,1_odd,31245,2,EHW03
8198.40144,0.00012,8198.40146,0.00013,1000,Th II,1521,5/2,9720,7/2_odd,PE83
8201.96424,0.00006,8201.9645,0.0006,35,Th I,18053,4_odd,26255,4,EHW03
8202.1524,0.0003,8202.1527,0.0006,21,Th II,15144,3/2_odd,23346,3/2,EHW03
8204.9945,0.0003,8204.9945,0.0008,32,Ar II,155708,1/2_odd,147503,3/2,95WHA
8206.57375,0.00005,8206.5738,0.0004,180,Th I,9804,5,18011,5_odd,EHW03
8207.8456,0.0013,8207.8462,0.0013,39,Ne II,282375,3/2,290583,3/2_odd,Q94
8208.98151,0.00013,8208.9816,0.0004,120,Th I,24084,6_odd,32293,5,EHW03
8209.27871,0.00020,8209.278,0.003,0,Th I,25355,4_odd,33564,3,GBCZ74
8209.55097,0.00012,8209.5510,0.0004,170,Th I,24084,6_odd,32294,7,EHW03
8213.45451,0.00003,8213.45434,0.00018,500,Th I,4961,4,13175,4_odd,KNS08
8213.50979,0.00010,8213.5097,0.0004,170,Th I,22338,3_odd,30552,4,PE83
8213.98632,0.00023,8213.990,0.003,0,Th I,24182,2_odd,32396,2,GBCZ74
8214.0971,0.0003,8214.0988,0.0007,13,Th II,21131,3/2_odd,29345,5/2,EHW03
8216.15156,0.00005,8216.1516,0.0003,170,Th I,11601,1,19817,1_odd,KNS08
8216.80603,0.00008,8216.8060,0.0007,17,Th I,21539,4_odd,29756,4,EHW03
8218.33390,0.00020,8218.3339,0.0003,120,Ar II,191170,3/2_odd,182951,1/2,95WHA
8219.79632,0.00015,8219.79620,0.00020,330,Th I,26723,6_odd,34943,6,KNS08
8220.14127,0.00012,8220.1410,0.0006,27,Th I,18431,3,26651,2_odd,EHW03
8221.2620,0.0014,8221.2600,0.0020,36,Ne II,294086,3/2_odd,302307,5/2,Q94
