wavenumber_cm_inv,intensity
8468.639810,0.20709800
8468.649290,-0.99727400
8468.658770,-2.12308000
8468.668240,-0.73846800
8468.677720,-1.74966000
8468.687200,-2.02048000
8468.696680,0.06752790
8468.706150,-1.45573000
8468.715630,-0.53881700
8468.725110,1.52516000
8468.734580,-1.21264000
8468.744060,1.09166000
8468.753540,1.91799000
8468.763010,-1.79865000
8468.772490,3.60855000
8468.781970,3.40058000
8468.791450,-0.63309700
8468.800920,6.14392000
8468.810400,1.18871000
8468.819880,-2.40869000
8468.829350,5.93318000
8468.838830,-3.83212000
8468.848310,-1.45388000
8468.857790,10.14710000
8468.867260,-4.93575000
8468.876740,7.26418000
8468.886220,18.43170000
8468.895690,-0.75972700
8468.905170,37.17380000
8468.914650,52.50990000
8468.924130,126.57600000
8468.933600,568.26400000
8468.943080,952.16800000
8468.952560,665.08500000
8468.962030,178.31400000
8468.971510,53.31870000
8468.980990,44.55070000
8468.990460,-2.12123000
8468.999940,11.54830000
8469.009420,9.93266000
8469.018900,-7.49145000
8469.028370,7.29746000
8469.037850,0.99830500
8469.047330,-4.87289000
8469.056800,6.75581000
8469.066280,-0.40479300
8469.075760,-0.63864300
8469.085240,6.09955000
8469.094710,-1.58513000
8469.104190,-0.06372370
8469.113670,2.49014000
8469.123140,-3.58533000
8469.132620,-0.06557230
8469.142100,1.07964000
8469.151580,-1.54446000
8469.161050,4.04020000
8469.170530,3.01237000
8469.180010,-0.84383900
8469.189480,2.79978000
8469.198960,0.80327600
8469.208440,-1.08508000
8469.217910,2.94952000
8469.227390,0.50564900
8469.236870,0.49086000
8469.246350,4.27312000
8469.255820,0.25701100
8469.265300,4.85082000
8469.274780,12.51520000
8469.284250,22.35440000
8469.293730,98.75210000
8469.303210,202.87500000
8469.312690,185.09500000
8469.322160,74.42430000
8469.331640,17.81050000
8469.341120,12.39960000
8469.350590,2.97817000
8469.360070,1.25804000
8469.369550,2.95044000
8469.379030,-1.11651000
8469.388500,0.11559200
8469.397980,0.26902700
8469.407460,-1.27364000
8469.416930,1.45122000
8469.426410,0.94007400
8469.435890,-0.24211500
8469.445360,1.56398000
8469.454840,0.82176200
8469.464320,0.42708300
8469.473800,1.04544000
8469.483270,-0.58133600
8469.492750,-0.82073100
8469.502230,-0.15245700
8469.511700,-0.99450100
8469.521180,-1.12760000
8469.530660,-1.36330000
8469.540140,-2.65548000
8469.549610,-3.12318000
8469.559090,-2.76917000
8469.568570,-2.44104000
8469.578040,-2.26265000
8469.587520,-1.91973000
8469.597000,-1.26902000
8469.606480,-0.79392600
8469.615950,-0.06742090
8469.625430,1.12031000
8469.634910,1.67305000
8469.644380,1.30425000
8469.653860,0.61194500
8469.663340,0.09063560
8469.672820,-0.16077600
8469.682290,-0.26337400
8469.691770,0.10819700
8469.701250,0.68681400
8469.710720,0.74042300
8469.720200,0.67757000
8469.729680,0.99368300
8469.739150,1.10368000
8469.748630,0.38179200
8469.758110,-0.33547000
8469.767590,0.03517710
8469.777060,0.16642900
8469.786540,-0.58226000
8469.796020,-0.51478500
8469.805490,-0.57301700
8469.814970,-1.32540000
8469.824450,0.44187200
8469.833930,3.27580000
8469.843400,2.59643000
8469.852880,0.61749100
8469.862360,0.61564200
8469.871830,0.87075100
8469.881310,0.67572200
8469.890790,0.94746800
8469.900270,1.06763000
8469.909740,0.96318100
8469.919220,1.39298000
8469.928700,2.20545000
8469.938170,2.95968000
8469.947650,3.70745000
8469.957130,4.44320000
8469.966600,4.39791000
8469.976080,3.39965000
8469.985560,2.71105000
8469.995040,2.45501000
8470.004510,1.73683000
8470.013990,1.13695000
8470.023470,1.05284000
8470.032940,0.86797800
8470.042420,0.68496500
8470.051900,0.41044600
8470.061380,-0.49629900
8470.070850,-1.67756000
8470.080330,-2.61296000
8470.089810,-3.03907000
