GALAXY,PGC,DIST,INCL,PA,HAS_BAR,OM_P_ALMA,OM_P_ALMA_ERR_UP,OM_P_ALMA_ERR_DOWN,OM_P_ALMA_QUAL,OM_P_MUSE_MASS,OM_P_MUSE_MASS_ERR_UP,OM_P_MUSE_MASS_ERR_DOWN,OM_P_MUSE_MASS_QUAL,OM_P_MUSE_HA,OM_P_MUSE_HA_ERR_UP,OM_P_MUSE_HA_ERR_DOWN,OM_P_MUSE_HA_QUAL,R_CR_ALMA_1,R_CR_ALMA_1_ERR,R_CR_ALMA_2,R_CR_ALMA_2_ERR,R_CR_ALMA_3,R_CR_ALMA_3_ERR,R_CR_ALMA_4,R_CR_ALMA_4_ERR,R_ILR_ALMA_1,R_ILR_ALMA_1_ERR,R_ILR_ALMA_2,R_ILR_ALMA_2_ERR,R_ILR_ALMA_3,R_ILR_ALMA_3_ERR,R_ILR_ALMA_4,R_ILR_ALMA_4_ERR,R_ILR_ALMA_5,R_ILR_ALMA_5_ERR,R_ILR_ALMA_6,R_ILR_ALMA_6_ERR,R_ILR_ALMA_7,R_ILR_ALMA_7_ERR,R_OLR_ALMA_1,R_OLR_ALMA_1_ERR,R_OLR_ALMA_2,R_OLR_ALMA_2_ERR,R_OLR_ALMA_3,R_OLR_ALMA_3_ERR,R_CR_MUSE_MASS_1,R_CR_MUSE_MASS_1_ERR,R_CR_MUSE_MASS_2,R_CR_MUSE_MASS_2_ERR,R_ILR_MUSE_MASS_1,R_ILR_MUSE_MASS_1_ERR,R_ILR_MUSE_MASS_2,R_ILR_MUSE_MASS_2_ERR,R_ILR_MUSE_MASS_3,R_ILR_MUSE_MASS_3_ERR,R_ILR_MUSE_MASS_4,R_ILR_MUSE_MASS_4_ERR,R_ILR_MUSE_MASS_5,R_ILR_MUSE_MASS_5_ERR,R_ILR_MUSE_MASS_6,R_ILR_MUSE_MASS_6_ERR,R_ILR_MUSE_MASS_7,R_ILR_MUSE_MASS_7_ERR,R_ILR_MUSE_MASS_8,R_ILR_MUSE_MASS_8_ERR,R_ILR_MUSE_MASS_9,R_ILR_MUSE_MASS_9_ERR,R_OLR_MUSE_MASS_1,R_OLR_MUSE_MASS_1_ERR,R_OLR_MUSE_MASS_2,R_OLR_MUSE_MASS_2_ERR,R_OLR_MUSE_MASS_3,R_OLR_MUSE_MASS_3_ERR,R_CR_MUSE_HA_1,R_CR_MUSE_HA_1_ERR,R_CR_MUSE_HA_2,R_CR_MUSE_HA_2_ERR,R_ILR_MUSE_HA_1,R_ILR_MUSE_HA_1_ERR,R_ILR_MUSE_HA_2,R_ILR_MUSE_HA_2_ERR,R_ILR_MUSE_HA_3,R_ILR_MUSE_HA_3_ERR,R_ILR_MUSE_HA_4,R_ILR_MUSE_HA_4_ERR,R_ILR_MUSE_HA_5,R_ILR_MUSE_HA_5_ERR,R_ILR_MUSE_HA_6,R_ILR_MUSE_HA_6_ERR,R_ILR_MUSE_HA_7,R_ILR_MUSE_HA_7_ERR,R_OLR_MUSE_HA_1,R_OLR_MUSE_HA_1_ERR,R_OLR_MUSE_HA_2,R_OLR_MUSE_HA_2_ERR,R_OLR_MUSE_HA_3,R_OLR_MUSE_HA_3_ERR,LITERATURE_OM_P,LITERATURE_OM_P_ERR,LITERATURE_OM_P_REF
NGC1300,12412,18.989999771118164,31.799999237060547,278.0,1,24.88579830766181,1.671837643476679,0.2051094735816111,1.0,18.918493051741166,9.36003410272923,8.94054546833621,3.0,25.10078719608848,0.6705135200911906,0.6202335598388591,1.0,6.093534506857395,2.4556034579873085,,,,,,,1.3722773746700065,0.02022516395976437,1.4521667723110752,0.011123840177870381,,,,,,,,,,,,,,,,,0.07275862097740174,0.07275862097740174,6.093534506857395,2.4556034579873085,1.3803674402539121,0.1092158853827272,6.336543868594149,0.09809204520485704,6.977681566118678,0.19112779941977198,7.502524570874559,0.2305668691413123,8.15883114136891,0.15674502068817375,,,,,,,,,,,,,,,6.093534506857395,2.4556034579873085,,,1.3844124730458651,0.01415761477183497,1.4440767067271696,0.009101323781893988,,,,,,,,,,,,,,,,,22.927260100604645,,1996A%26A...313..733L
NGC1317,12653,19.110000610351562,23.200000762939453,221.5,1,94.60788047456994,43.746708308785934,14.87005346435486,3.0,,,,,,,,,0.17601316571235656,0.17601316571235656,1.558973753452301,1.0560789942741393,,,,,0.6842031023453402,0.16208741616696376,,,,,,,,,,,,,1.9345917413476328,0.605773707425842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1365,13179,19.56999969482422,55.400001525878906,201.10000610351562,1,109.13127264524128,21.97476211164353,36.78137093821237,3.0,38.061665008028385,20.127645114007027,21.19386695394229,3.0,26.814731997328533,5.586622104397739,20.679554777727407,2.0,2.324613070487976,1.6218230724334721,,,,,,,0.4412935819749072,0.3052012181906748,1.439035822972918,0.17232997544275563,1.7329631175364968,0.024963688031427234,2.0220587305456057,0.051537936581011135,3.790454179481548,0.00966336310893956,,,,,1.5872073906433248,0.0241584077723489,2.7540584860477786,1.0460590565427088,,,2.811159992218018,1.1352761507034304,,,0.9735838332256619,0.624897481044759,2.1468771707027416,0.435656620161359,2.918335658899751,0.23916823694625444,3.7340845613460667,0.0660329812444207,,,,,,,,,,,3.799312262331409,0.0008052802590783337,,,,,,,,,1.0009633620343243,0.2705741670503081,1.8682502010616509,0.11354451653003994,2.690441345580593,0.6281186020810723,3.6946258286512306,0.08938610875769104,,,,,,,,,,,,,20.16121362711793,4.2002528389829035,2016ApJ...826....2S
NGC1385,13368,17.219999313354492,44.0,181.3000030517578,0,27.36267826499704,4.112795194969125,7.145106106356201,3.0,25.01043796034698,5.553246662396808,19.287443857296868,3.0,21.858186641045197,10.35027809390912,5.873132618086386,3.0,0.07585902810096741,0.07585902810096741,4.19121130257845,1.4223567768931389,,,,,0.5647394991906332,0.11510252844949642,1.7015895954529014,0.7631921344483859,3.0453974399125405,0.15989612326481772,4.051268796904692,0.07371097881002253,4.383535209079101,0.02494833128954621,5.0214186795504485,0.2727306215970824,,,4.123845760656099,0.001134015058615212,4.363689945553325,0.005103067763771563,5.184716847991114,0.37252394675526723,0.07585902810096741,0.07585902810096741,4.19121130257845,1.4223567768931389,2.110402024083872,2.0145777516308425,4.957913836267968,0.5993269584784127,,,,,,,,,,,,,,,4.12327875312679,0.0017010225879241503,4.3648239606119414,0.0062370828223858865,5.180747795285958,0.3764929994604227,0.07585902810096741,0.07585902810096741,3.9636342182755477,1.6499338611960415,0.5596364314268623,0.15876210820620207,1.6522599404031173,0.8340680756118688,3.0522015302642345,0.1984526352577527,4.030856525849609,0.09412324986510523,4.391473314489411,0.03288643669985625,5.09286162824324,0.4020083382792752,,,4.1108045874820185,0.014175188232695923,4.379566156373945,0.020979278584391636,5.135387192941329,0.4218536018050516,,,
NGC1433,13586,12.109999656677246,28.600000381469727,199.6999969482422,1,105.55383782281288,4.617606128025366,8.064561787841386,3.0,19.98845091851578,2.447836856623876,1.934184187219013,1.0,41.206558912141936,0.6603231143310376,0.7370660564952252,1.0,0.07208333611488343,0.07208333611488343,0.3063541784882545,0.05406250208616259,1.8201042369008062,0.8109375312924385,,,,,,,,,,,,,,,,,4.71578163712079,0.024684786626470334,,,,,6.275,0.375,,,0.27054526142610896,0.006911740255411525,0.568737483873864,0.008886523185529183,0.7760896915362103,0.012836089045764387,0.8234844818590324,0.012836089045764276,1.1898067153958443,0.007899131720470187,1.3961715315931318,0.004936957325293978,3.8616880198449346,0.14020958803834827,4.384018104861036,0.020735220766234796,4.595319878383616,0.01283608904576461,,,,,,,0.07208333611488343,0.07208333611488343,3.7122918099164965,1.0812500417232518,0.2379613430791688,0.0019747829301175746,0.6042835766159806,0.00296217439517632,0.7415309902591527,0.001974782930117547,0.8619927489963253,0.001974782930117547,1.1582101885139628,0.001974782930117547,1.4198689267545426,0.0009873914650588844,4.43733724397421,0.0009873914650588844,,,,,,,17.21962462862518,,2008AJ....136..300T
NGC1511,14236,15.279999732971191,72.69999694824219,297.0,0,44.29456074046007,1.5814606622255636,0.9782462830804506,1.0,,,,,,,,,0.31833331435918805,0.31833331435918805,0.9305127650499343,0.14692306816577916,2.6935895830392838,0.881538408994675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1512,14391,17.1299991607666,42.5,261.8999938964844,1,27.587327022149083,2.2557077815531748,1.9707884178501966,1.0,22.25473420913624,5.147185236832425,5.50803762294665,1.0,24.993330455307643,2.3101058053787225,2.225801785609096,1.0,5.365870392322541,2.179486548900605,,,,,,,,,,,,,,,,,,,,,,,,,,,5.365870392322541,2.179486548900605,,,7.210345285458579,0.16517723263500717,,,,,,,,,,,,,,,,,,,,,,,5.365870392322541,2.179486548900605,,,,,,,,,,,,,,,,,,,,,,,31.897419391178907,,2009MNRAS.400.1749K
NGC1546,14723,17.690000534057617,70.30000305175781,147.8000030517578,0,74.46306268189724,1.7783957735579456,2.117851922796905,3.0,,,,,,,,,2.3340973556041718,0.3685416877269745,,,,,,,,,,,,,,,,,,,,,3.878227617067732,0.2073957701493141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1559,14814,19.440000534057617,65.4000015258789,244.5,1,21.16732972839421,3.0563663528047895,1.196455041278875,1.0,,,,,,,,,0.17181819528341294,0.17181819528341294,1.0063637152314187,0.36818184703588486,3.730909383296967,0.8836364328861235,6.676364159584045,1.620000126957894,0.6002591073971171,0.044851240901403466,7.042392342202041,0.013455372270420263,7.2360001987597675,0.0067276861352105755,,,,,,,,,7.036412176748521,0.019435537723940577,7.2644059846639895,0.0351334720394334,8.16890600950896,0.03961859612957319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1566,14897,17.690000534057617,29.5,214.6999969482422,1,58.467150272700046,7.214412284604379,5.743877776327968,1.0,29.399025857045626,9.119303307092713,7.196180297111187,3.0,64.6546360400756,6.447332506189993,7.116657843763039,1.0,4.029389119148255,2.5060834765434263,,,,,,,0.8027989435040297,0.07278122290009059,1.3791674157633331,0.14923826513856953,,,,,,,,,,,5.838671437096158,0.835881317549525,8.056660825879726,0.16467670635980092,,,6.756597608327865,2.7272084891796107,,,1.5945704289928941,0.06910540356170225,1.9209831862417854,0.1308591684466276,4.056634221845455,0.6226837959229972,5.194667889010508,0.24627989567202402,6.573835304773841,0.3580248035590321,7.256802537846408,0.04852081526672691,7.662612992804489,0.01617360508890897,,,,,6.9634721546430125,0.34185119847012224,7.7831798671036285,0.1367404793880489,8.803587315440254,0.6072453547017673,3.8082641065120697,2.284958463907242,,,0.8050044351070629,0.08380868091525584,1.3600531552037132,0.14923826513856975,,,,,,,,,,,4.405837058992354,0.10586359694558567,5.076306506314401,0.10586359694558656,5.82837914294867,0.6344464178058402,28.89604975283491,,2005astro.ph..9708K
