#This catalogue provides the latest version of the cluster member catalogue with spectroscopic redshifts and references, used for the 2026arXiv260122245R lens model
#last update: 6.2.2026.
#The updated version includes additional photometric cluster member id=250
#We note that the cluster member id=40 is a confirmed foreground object, despite being
#photometrically selected as a cluster member in the submitted version of the paper.

#======================================================================
#Redshifts from Barrena+2002 (2002A&A...386..816B), Foex+2017 (2017A&A...606A.122F), 
#Guzzo+2009 (2009A&A...499..357G) were compiled using NED database (https://ned.ipac.caltech.edu/).
#Some redshifts were obtained by several studies, in which case we quote the earliest publication as specz_ref.
#Richard+2021 MUSE redshifts were obtained from 2021A&A...646A..83R MUSE catalogues.
#Chung+2010 redshifts were obtained by 2010ApJ...725.1536C, and were provided for this work by the authors of the study (Anthony H. Gonzales).
#Where new NIRSpec redshifts are available, we quote Rihtarsic+2026 specz regardless of whether previous redshifts were available.
#for the individual redshift uncertainties refer directly to the references above.

#id ra dec mag_F277W specz specz_ref
77    104.6224690 -55.9322221 19.22     0.2864    Rihtarsic+2026
78    104.5821639 -55.9605912 19.24     0.2967    Chung+2010
79    104.6543996 -55.9597542 19.25     -1        None
80    104.6237391 -55.9314760 19.26     0.2933    Rihtarsic+2026
81    104.6070060 -55.9362760 19.27     -1        None
82    104.6275172 -55.9663622 19.28     -1        None
83    104.6407084 -55.9729122 19.30     0.3503    Chung+2010
84    104.6883370 -55.9778816 19.36     -1        None
85    104.6847400 -55.9559100 19.37     0.2988    Foex+2017
86    104.6491348 -55.9728947 19.37     -1        None
87    104.5825465 -55.9428617 19.38     0.3001    Chung+2010
88    104.5739398 -55.9389644 19.39     -1        None
89    104.6516070 -55.9514233 19.43     0.2983    Richard+2021
90    104.6395504 -55.9589656 19.44     0.2979    Foex+2017
91    104.5740739 -55.9423197 19.44     -1        None
92    104.6720589 -55.9594500 19.45     0.2918    Foex+2017
93    104.6067423 -55.9582057 19.47     0.3496    Chung+2010
94    104.6259613 -55.9602396 19.48     -1        None
95    104.5521198 -55.9490649 19.48     0.3014    Chung+2010
96    104.5593659 -55.9515257 19.48     -1        None
97    104.6594119 -55.9359608 19.49     0.2892    Chung+2010
98    104.6325428 -55.9428900 19.50     0.2907    Richard+2021
99    104.6481060 -55.9638914 19.51     -1        None
100   104.6620446 -55.9627761 19.51     0.3069    Foex+2017
101   104.6281151 -55.9378796 19.53     0.2975    Rihtarsic+2026
102   104.5752392 -55.9352679 19.54     -1        None
103   104.6708327 -55.9747504 19.58     0.2904    Chung+2010
104   104.6569481 -55.9703954 19.61     0.3484    Chung+2010
