season,MJD,image,frequency_GHz,flux_mJy,flux_error_mJy,array_configuration,phase_calibrator,amplitude_calibrator,quality_flag,original_table_or_epoch_id
1,50398,A,8.5,32.795,0.295,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=398
1,50398,B,8.5,16.705,0.154,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=398
1,50398,C,8.5,16.995,0.157,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=398
1,50398,D,8.5,5.755,0.065,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=398
1,50399,A,8.5,33.422,0.304,A,1642+689,3C286_or_3C48,Elev. <= 30deg,Fassnacht1999_ApJ527_498_Table3_MJDm50000=399
1,50399,B,8.5,16.830,0.162,A,1642+689,3C286_or_3C48,Elev. <= 30deg,Fassnacht1999_ApJ527_498_Table3_MJDm50000=399
1,50399,C,8.5,16.661,0.161,A,1642+689,3C286_or_3C48,Elev. <= 30deg,Fassnacht1999_ApJ527_498_Table3_MJDm50000=399
1,50399,D,8.5,5.874,0.082,A,1642+689,3C286_or_3C48,Elev. <= 30deg,Fassnacht1999_ApJ527_498_Table3_MJDm50000=399
1,50402,A,8.5,33.927,0.271,A,1642+689,3C286_or_3C48,High wind gusts,Fassnacht1999_ApJ527_498_Table3_MJDm50000=402
1,50402,B,8.5,16.943,0.139,A,1642+689,3C286_or_3C48,High wind gusts,Fassnacht1999_ApJ527_498_Table3_MJDm50000=402
1,50402,C,8.5,16.840,0.138,A,1642+689,3C286_or_3C48,High wind gusts,Fassnacht1999_ApJ527_498_Table3_MJDm50000=402
1,50402,D,8.5,6.036,0.060,A,1642+689,3C286_or_3C48,High wind gusts,Fassnacht1999_ApJ527_498_Table3_MJDm50000=402
1,50405,A,8.5,33.846,0.296,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=405
1,50405,B,8.5,16.740,0.150,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=405
