season,MJD,image,frequency_GHz,flux_mJy,flux_error_mJy,array_configuration,phase_calibrator,amplitude_calibrator,quality_flag,original_table_or_epoch_id
1,50545,A,8.5,33.959,0.308,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=545
1,50545,B,8.5,17.031,0.156,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=545
1,50545,C,8.5,17.422,0.160,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=545
1,50545,D,8.5,5.903,0.060,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=545
1,50549,A,8.5,34.338,0.311,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=549
1,50549,B,8.5,16.267,0.150,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=549
1,50549,C,8.5,17.507,0.161,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=549
1,50549,D,8.5,5.758,0.061,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=549
1,50553,A,8.5,33.728,0.306,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=553
1,50553,B,8.5,16.519,0.152,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=553
1,50553,C,8.5,17.374,0.160,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=553
1,50553,D,8.5,5.820,0.061,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=553
1,50557,A,8.5,33.004,0.295,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=557
1,50557,B,8.5,16.755,0.152,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=557
1,50557,C,8.5,17.459,0.158,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=557
1,50557,D,8.5,5.707,0.060,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=557
1,50560,A,8.5,33.241,0.300,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=560
1,50560,B,8.5,16.622,0.152,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=560
1,50560,C,8.5,17.630,0.161,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=560
1,50560,D,8.5,5.833,0.061,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=560
1,50564,A,8.5,33.049,0.300,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=564
1,50564,B,8.5,16.850,0.156,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=564
1,50564,C,8.5,16.666,0.154,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=564
1,50564,D,8.5,5.805,0.062,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=564
1,50571,A,8.5,34.091,0.309,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=571
1,50571,B,8.5,16.535,0.152,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=571
1,50571,C,8.5,17.653,0.162,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=571
1,50571,D,8.5,5.957,0.063,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=571
1,50576,A,8.5,33.332,0.302,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=576
1,50576,B,8.5,16.748,0.154,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=576
1,50576,C,8.5,17.093,0.157,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=576
1,50576,D,8.5,5.847,0.059,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=576
1,50581,A,8.5,34.055,0.308,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=581
1,50581,B,8.5,15.971,0.147,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=581
1,50581,C,8.5,18.138,0.166,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=581
1,50581,D,8.5,5.768,0.060,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=581
1,50585,A,8.5,34.151,0.307,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=585
1,50585,B,8.5,16.127,0.148,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=585
1,50585,C,8.5,17.287,0.158,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=585
1,50585,D,8.5,5.732,0.060,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=585
1,50589,A,8.5,33.723,0.307,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=589
1,50589,B,8.5,15.952,0.148,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=589
1,50589,C,8.5,17.538,0.162,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=589
1,50589,D,8.5,6.051,0.064,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=589
1,50591,A,8.5,34.341,0.312,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=591
1,50591,B,8.5,16.068,0.150,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=591
1,50591,C,8.5,17.214,0.160,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=591
1,50591,D,8.5,5.962,0.066,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=591
1,50594,A,8.5,33.130,0.302,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=594
1,50594,B,8.5,16.309,0.152,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=594
1,50594,C,8.5,17.018,0.158,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=594
1,50594,D,8.5,5.993,0.065,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=594
