#REFERENCE 3 104.6587124 -55.9571457
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
  N1.1    11.256    13.203    17.350     0.000     0.000     6.964     0.148      2.11  -390669.7    -388.0    +-
K14b.2   186.310    68.496   198.502     1.000    34.410     3.310     0.169      1.30  -514953.7       0.0    ++
K14b.1   186.301    68.490   198.492     0.996    10.523     3.312     0.169      1.30  -514937.9      15.8    ++
K14a.3   186.458    68.260   198.560     0.000     0.000     3.362     0.173      1.32  -514967.6       0.0    ++
K14a.2   186.393    68.414   198.552     0.982     5.268     3.329     0.170      1.31  -514997.6     -30.0    ++
K14a.1   186.390    68.369   198.533     0.971     4.031     3.338     0.171      1.31  -514961.3       6.4    ++
 N2b.3     2.717     2.701     3.831     0.842     1.564     9.014     0.598      2.39  -393629.6       0.0    +-
 N2b.3    24.914   -12.629    27.932     0.441     0.492     5.581     0.102      1.87  -395767.0   -2137.4    ++
 N2b.3   -10.865    10.822    15.335     0.204     0.208     5.024     0.044      1.75  -395014.1   -1384.5    ++
 N2b.3    -0.281    -3.349     3.361     0.000     0.000     3.797     0.088      1.45  -393675.8     -46.3    +-
 N2b.2     1.722     1.405     2.222     0.913     2.237     4.457     0.186      1.62  -393769.7    -140.2    +-
 N2b.2   -11.099    10.428    15.230     0.533     0.630     5.022     0.044      1.75  -395186.3   -1556.8    ++
 N2b.2    -0.281    -3.766     3.776     0.377     0.407     4.475     0.102      1.63  -393874.6    -245.1    +-
 N2b.2    24.614   -12.920    27.799     0.000     0.000     5.606     0.102      1.87  -395898.9   -2269.4    ++
 N2b.1     2.463     1.755     3.024     0.903     2.102    11.359     0.976      2.64  -393878.7    -249.1    +-
 N2b.1    24.134   -12.293    27.084     0.539     0.640     5.808     0.103      1.91  -395678.8   -2049.2    ++
 N2b.1     0.271    -3.396     3.407     0.146     0.148     4.187     0.088      1.55  -393926.8    -297.2    +-
 N2b.1   -11.390    11.151    15.940     0.000     0.000     4.827     0.041      1.71  -395476.0   -1846.5    ++
 N2a.3    25.115   -12.035    27.850     0.574     0.701     5.619     0.102      1.87  -395544.0       0.0    ++
 N2a.3     3.568     3.153     4.762     0.508     0.590     4.587     0.115      1.65  -393487.3    2056.7    +-
 N2a.3   -10.673    11.565    15.737     0.205     0.210     4.955     0.043      1.74  -394922.2     621.8    ++
 N2a.2     3.202     2.804     4.257     0.755     1.150     5.864     0.217      1.92  -393622.6    1921.4    +-
 N2a.2   -10.910    11.299    15.706     0.504     0.583     4.933     0.043      1.73  -395081.2     462.8    ++
 N2a.2    24.812   -12.229    27.662     0.000     0.000     5.659     0.102      1.88  -395627.1     -83.1    ++
 N2a.1     3.765     2.548     4.546     0.615     0.779     6.017     0.198      1.95  -393721.3    1822.6    +-
 N2a.1    24.309   -11.543    26.910     0.510     0.593     5.879     0.103      1.92  -395391.9     152.0    ++
 N2a.1   -11.207    12.066    16.468     0.000     0.000     4.742     0.040      1.69  -395412.8     131.2    ++
 K9b.2    43.843     7.529    44.485     0.991     7.424     5.230     0.103      1.80  -391992.9       0.0    ++
 K9b.2    20.321    34.802    40.300     0.000     0.000    99.421    10.710      4.99  -388392.0    3601.0    +-
 K9b.1    43.836     7.652    44.499     0.984     5.592     5.248     0.104      1.80  -391976.6      16.3    ++
 K9b.1    20.636    34.856    40.506     0.303     0.318    53.099     4.431      4.31  -388425.4    3567.5    +-
 K9a.2    43.784     7.389    44.403     0.952     3.110     5.221     0.102      1.79  -392000.5       0.0    ++
 K9a.2    18.831    35.023    39.765     0.421     0.464    68.340     3.687      4.59  -388378.8    3621.8    ++
