#REFERENCE 3 104.6587124 -55.9571457
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
 N5a.1    -0.077    38.785    38.785     0.870     1.768     5.130     0.076      1.78  -392833.7   -1949.0    ++
 N5a.1    22.820    25.457    34.188     0.800     1.332     4.474     0.349      1.63  -390203.3     681.5    +-
 N5a.1    37.114    11.381    38.820     0.000     0.000    10.769     0.367      2.58  -390909.6     -24.8    ++
 K3b.3    36.650    25.701    44.763     0.993     8.133    34.287     2.347      3.84  -391189.0       0.0    ++
 K3b.3    34.635    28.419    44.802     0.982     5.135    20.214     1.112      3.26  -391185.3       3.7    +-
 K3b.3     8.124    46.421    47.126     0.000     0.000     7.405     0.169      2.17  -393393.8   -2204.8    ++
 K3b.2     7.546    46.209    46.821     0.993     8.153     7.286     0.163      2.16  -393423.1   -2234.1    ++
 K3b.2    34.395    28.224    44.493     0.509     0.591    20.957     1.109      3.30  -391151.1      37.9    +-
 K3b.2    36.461    25.356    44.411     0.000     0.000    33.752     2.300      3.82  -391150.9      38.1    ++
 K3b.1     7.614    46.266    46.888     0.988     6.319     7.283     0.163      2.16  -393441.6   -2252.6    ++
 K3b.1    36.350    25.638    44.482     0.533     0.630    37.730     2.775      3.94  -391158.3      30.7    ++
 K3b.1    34.549    28.118    44.545     0.000     0.000    24.838     1.633      3.49  -391160.5      28.5    +-
 K3a.3    38.330    23.064    44.734     0.985     5.766    21.414     1.079      3.33  -391170.3       0.0    ++
 K3a.3    33.660    29.883    45.011     0.959     3.379    10.055     0.346      2.51  -391107.3      63.1    +-
 K3a.3     8.938    46.118    46.977     0.000     0.000     7.866     0.188      2.24  -392959.0   -1788.7    ++
 K3a.2     8.678    45.863    46.677     0.981     5.035     7.985     0.191      2.26  -392855.7   -1685.4    ++
 K3a.2    33.186    30.233    44.892     0.311     0.328    11.013     0.436      2.60  -391048.9     121.4    +-
 K3a.2    38.615    22.112    44.498     0.000     0.000    18.842     0.936      3.19  -391144.3      26.0    ++
 K3a.1     8.542    45.930    46.717     0.964     3.607     7.887     0.187      2.24  -392937.0   -1766.7    ++
 K3a.1    38.339    22.549    44.478     0.394     0.429    20.196     1.012      3.26  -391131.2      39.1    ++
 K3a.1    33.350    29.962    44.832     0.000     0.000    10.594     0.388      2.56  -391069.6     100.7    +-
 K8b.3     2.940    31.725    31.861     0.449     0.503     7.714     0.136      2.22  -388814.1       0.0    ++
 K8b.3    14.549    24.485    28.481     0.236     0.242     5.129     0.120      1.78  -388348.6     465.4    +-
 K8b.3    42.092     2.088    42.144     0.000     0.000     5.269     0.091      1.80  -392442.0   -3628.0    ++
 K8b.2    41.968     1.967    42.014     0.233     0.240     5.276     0.091      1.81  -392446.3   -3632.2    ++
 K8b.2     2.741    31.600    31.719     0.226     0.232     7.582     0.131      2.20  -388854.8     -40.8    ++
 K8b.2    14.496    24.309    28.303     0.000     0.000     5.140     0.118      1.78  -388375.1     439.0    +-
 K8b.1    42.144     1.402    42.167     0.447     0.500     5.199     0.089      1.79  -392576.0   -3761.9    ++
 K8b.1    13.951    24.273    27.997     0.242     0.250     6.074     0.129      1.96  -388245.3     568.8    +-
 K8b.1     2.944    31.060    31.199     0.000     0.000     7.948     0.139      2.25  -388631.6     182.5    ++
 K8a.3     2.760    32.433    32.551     0.426     0.471     7.360     0.128      2.17  -389078.2       0.0    ++
 K8a.3    15.185    24.615    28.922     0.273     0.284     4.479     0.112      1.63  -388509.9     568.3    +-
 K8a.3    41.919     2.840    42.015     0.000     0.000     5.372     0.095      1.83  -392283.4   -3205.1    ++
 K8a.2    41.428     2.882    41.528     0.269     0.279     5.455     0.098      1.84  -392208.3   -3130.1    ++
 K8a.2     2.082    32.438    32.504     0.181     0.184     6.864     0.114      2.09  -389353.4    -275.1    ++
 K8a.2    15.363    24.169    28.638     0.000     0.000     4.314     0.108      1.59  -388668.8     409.4    +-
 K8a.1    41.804     2.337    41.869     0.409     0.448     5.338     0.094      1.82  -392356.3   -3278.1    ++
 K8a.1    14.842    24.293    28.468     0.215     0.220     4.718     0.113      1.68  -388473.4     604.8    +-
 K8a.1     2.541    31.945    32.046     0.000     0.000     7.319     0.125      2.16  -389027.7      50.5    ++
K13b.2   189.479    30.867   191.976     0.444     0.495     3.251     0.186      1.28  -510586.8       0.0    ++
K13b.2   186.816    64.256   197.558     0.393     0.428     5.617     0.406      1.87  -508735.4    1851.4    ++
K13b.2   191.150    53.530   198.504     0.000     0.000     6.332     0.225      2.00  -508388.8    2198.0    +-
K13b.1   189.532    30.383   191.952     0.688     0.949     3.165     0.177      1.25  -510798.0    -211.2    ++
K13b.1   190.790    54.397   198.393     0.320     0.338     8.650     0.287      2.34  -508356.9    2229.9    +-
K13b.1   187.131    63.417   197.585     0.000     0.000     6.258     0.466      1.99  -508585.2    2001.6    ++
K13a.3   186.958    64.128   197.650     0.673     0.909     5.711     0.415      1.89  -508811.4       0.0    ++
K13a.3   191.204    53.689   198.599     0.476     0.542     6.731     0.239      2.07  -508487.0     324.5    +-
K13a.3   189.575    30.819   192.063     0.000     0.000     3.240     0.185      1.28  -510709.0   -1897.6    ++
K13a.2   189.601    30.282   192.004     0.548     0.655     3.146     0.175      1.24  -510910.2   -2098.7    ++
K13a.2   187.277    63.195   197.652     0.297     0.311     6.464     0.485      2.03  -508614.4     197.1    ++
K13a.2   190.728    54.671   198.409     0.000     0.000     9.465     0.305      2.44  -508412.1     399.3    +-
K13a.1   189.589    29.822   191.920     0.732     1.073     3.071     0.167      1.22  -511060.4   -2249.0    ++
K13a.1   190.141    55.328   198.027     0.440     0.490     6.154     0.221      1.97  -508296.3     515.2    +-
K13a.1   187.541    62.319   197.624     0.000     0.000     7.450     0.575      2.18  -508417.5     393.9    ++
 K15.3    47.444    49.860    68.825     0.904     2.111    30.473     2.748      3.71  -396550.5       0.0    +-
 K15.3    40.732    56.717    69.827     0.786     1.271    15.547     0.899      2.98  -396632.2     -81.7    ++
 K15.3    52.831    42.462    67.780     0.000     0.000    11.342     0.672      2.64  -396631.5     -81.0    ++
 K15.2    42.720    56.014    70.445     0.997    12.660    25.395     1.518      3.51  -396598.6     -48.1    ++
 K15.2    53.687    42.049    68.195     0.950     3.048     9.921     0.572      2.49  -396734.6    -184.1    ++
 K15.2    47.083    51.925    70.092     0.000     0.000    56.362     6.826      4.38  -396592.3     -41.8    +-
 K15.1    47.233    51.698    70.026     0.997    13.386    56.680     6.891      4.38  -396609.2     -58.7    +-
 K15.1    53.691    42.098    68.227     0.910     2.193     9.940     0.573      2.49  -396746.5    -196.0    ++
 K15.1    42.731    56.048    70.479     0.000     0.000    25.093     1.499      3.50  -396616.0     -65.5    ++
  N6.3   178.615    67.322   190.881     0.391     0.425     7.894     0.560      2.24  -501844.1       0.0    ++
  N6.3   176.040    51.259   183.350     0.287     0.299     3.241     0.166      1.28  -500831.7    1012.4    +-
  N6.3   181.858    32.010   184.653     0.000     0.000     3.778     0.243      1.44  -502276.6    -432.4    ++
  N6.2   181.266    31.009   183.899     0.285     0.298     3.541     0.217      1.37  -501833.2      10.9    ++
  N6.2   177.882    66.016   189.737     0.236     0.242     5.656     0.409      1.88  -500633.2    1210.9    ++
  N6.2   175.207    52.100   182.789     0.000     0.000     2.777     0.149      1.11  -500012.3    1831.8    +-
  N6.1   180.276    32.499   183.182     0.556     0.669     3.985     0.265      1.50  -500829.6    1014.5    ++
  N6.1   174.774    50.745   181.992     0.317     0.335     3.169     0.189      1.25  -499633.5    2210.6    +-
  N6.1   176.880    68.150   189.555     0.000     0.000     5.526     0.416      1.86  -500646.9    1197.2    ++
 N7b.3     9.382    17.103    19.507     0.527     0.621     7.161     0.153      2.14  -388490.6       0.0    +-
 N7b.3    -2.491    24.300    24.427     0.380     0.411     7.090     0.094      2.13  -388981.8    -491.1    ++
 N7b.3    41.273    -6.440    41.773     0.000     0.000     6.014     0.141      1.95  -393978.6   -5487.9    ++
 N7b.2    40.868    -7.101    41.480     0.544     0.648     6.311     0.165      2.00  -394041.4   -5550.7    ++
 N7b.2    -3.018    23.737    23.928     0.197     0.201     6.901     0.090      2.10  -389179.0    -688.4    ++
 N7b.2     9.222    16.375    18.794     0.000     0.000     6.448     0.129      2.02  -388644.9    -154.2    +-
 N7b.1    40.860    -6.465    41.368     0.448     0.500     6.615     0.177      2.05  -393913.5   -5422.8    ++
 N7b.1     9.626    16.583    19.174     0.176     0.179     6.218     0.124      1.98  -388681.0    -190.3    +-
 N7b.1    -3.030    24.256    24.444     0.000     0.000     6.755     0.088      2.07  -389273.2    -782.5    ++
 N7a.3     9.075    16.273    18.632     0.525     0.617     6.504     0.129      2.03  -388638.1       0.0    +-
 N7a.3    -3.028    23.532    23.726     0.385     0.417     6.952     0.091      2.11  -389152.0    -513.9    ++
 N7a.3    40.844    -7.337    41.497     0.000     0.000     6.180     0.159      1.98  -394091.3   -5453.3    ++
 N7a.2    40.455    -8.338    41.306     0.385     0.417     5.735     0.134      1.90  -394276.7   -5638.7    ++
 N7a.2    -3.318    22.606    22.849     0.211     0.215     7.022     0.092      2.12  -389171.7    -533.7    ++
 N7a.2     8.551    15.583    17.775     0.000     0.000     6.456     0.123      2.02  -388694.3     -56.3    +-
 N7a.1    40.374    -7.939    41.147     0.400     0.437     6.190     0.160      1.98  -394143.0   -5504.9    ++
 N7a.1     8.967    15.635    18.024     0.199     0.203     6.140     0.116      1.97  -388778.0    -140.0    +-
 N7a.1    -3.490    23.054    23.316     0.000     0.000     6.790     0.087      2.08  -389327.5    -689.4    ++
 N8b.3   -15.468     4.521    16.115     0.647     0.849     5.876     0.061      1.92  -396281.0       0.0    ++
 N8b.3    -4.897    -9.327    10.535     0.595     0.740     9.599     0.227      2.46  -395628.8     652.2    +-
 N8b.3    27.994   -21.924    35.557     0.000     0.000     5.105     0.106      1.77  -398847.4   -2566.4    ++
 N8b.2    -6.302    -7.121     9.509     0.773     1.218    10.999     0.243      2.60  -394829.5    1451.5    +-
 N8b.2    29.514   -21.967    36.792     0.647     0.849     4.866     0.099      1.72  -398859.4   -2578.4    ++
 N8b.2   -14.322     4.531    15.022     0.000     0.000     6.407     0.068      2.02  -395282.8     998.2    ++
 N8b.1   -14.706     5.296    15.631     0.797     1.320     6.039     0.063      1.95  -395553.7     727.3    ++
 N8b.1    29.030   -21.486    36.116     0.562     0.679     4.996     0.104      1.75  -398616.9   -2335.9    ++
 N8b.1    -5.184    -7.986     9.521     0.000     0.000     9.132     0.204      2.40  -394953.1    1327.9    +-
 N8a.3   -15.675     4.143    16.213     0.648     0.850     5.869     0.061      1.92  -396492.1       0.0    ++
 N8a.3    -4.904    -9.719    10.886     0.617     0.784     9.879     0.238      2.49  -395847.6     644.6    +-
 N8a.3    27.707   -22.151    35.473     0.000     0.000     5.125     0.106      1.77  -398967.1   -2474.9    ++
 N8a.2    -6.568    -7.284     9.808     0.799     1.328    12.651     0.314      2.76  -395002.4    1489.7    +-
 N8a.2    29.307   -22.179    36.754     0.647     0.849     4.868     0.099      1.72  -398967.7   -2475.5    ++
 N8a.2   -14.471     4.171    15.060     0.000     0.000     6.423     0.068      2.02  -395436.2    1055.9    ++
 N8a.1   -14.892     4.950    15.694     0.818     1.422     6.031     0.063      1.95  -395738.5     753.6    ++
 N8a.1    28.779   -21.690    36.037     0.598     0.746     5.006     0.104      1.75  -398721.7   -2229.6    ++
 N8a.1    -5.295    -8.292     9.838     0.000     0.000     9.754     0.231      2.47  -395147.2    1344.9    +-
 N9b.2   -20.753    12.863    24.416     0.952     3.093     4.365     0.039      1.60  -401743.2       0.0    ++
 N9b.2     8.993   -12.505    15.403     0.215     0.220     9.242     0.187      2.41  -396366.6    5376.5    +-
 N9b.2    16.813   -15.111    22.606     0.000     0.000    14.571     0.279      2.91  -396449.5    5293.7    ++
 N9b.1   -20.803    12.919    24.488     0.939     2.739     4.361     0.038      1.60  -401807.7     -64.5    ++
 N9b.1    16.546   -15.012    22.341     0.203     0.207    15.440     0.298      2.97  -396439.8    5303.4    ++
 N9b.1     9.194   -12.551    15.558     0.000     0.000    10.119     0.210      2.51  -396383.0    5360.1    +-
 N9a.2   -21.009    13.012    24.713     0.979     4.746     4.355     0.039      1.60  -402054.0       0.0    ++
 N9a.2    10.141   -12.867    16.383     0.128     0.129    16.750     0.438      3.06  -396427.0    5627.1    +-
 N9a.2    15.348   -14.657    21.223     0.000     0.000    21.349     0.471      3.32  -396440.8    5613.3    ++
 N9a.1   -21.095    13.045    24.803     0.986     5.931     4.354     0.039      1.60  -402155.9    -101.8    ++
 N9a.1    14.660   -14.446    20.581     0.098     0.099    28.091     0.785      3.62  -396437.4    5616.6    ++
 N9a.1    10.730   -13.073    16.912     0.000     0.000    23.974     0.783      3.45  -396443.6    5610.4    +-
