day_key,schema_variant,utc_iso,time,tab_name,start,stop,image0_time,image1_time,image2_time,image3_time,image0_name,image1_name,image2_name,image3_name,image0_human_time,image1_human_time,image2_human_time,image3_human_time,new_path,found
2022_153,C16,2022-06-02T20:09:38.332000Z,2022-153T20:09:38.332000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737045376.244430,3737045377.374312,N/A,N/A,img0_image%d0_3737045376.244430.png,img0_image%d1_3737045377.374312.png,N/A,N/A,2022-153T20:09:36.244000,2022-153T20:09:37.374000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/150p000000T2,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:10:42.208000Z,2022-153T20:10:42.208000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737045440.368453,3737045441.112594,N/A,N/A,img0_image%d0_3737045440.368453.png,img0_image%d1_3737045441.112594.png,N/A,N/A,2022-153T20:10:40.368000,2022-153T20:10:41.112000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/150p000000T3,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:11:50.452000Z,2022-153T20:11:50.452000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737045508.798141,3737045509.569625,N/A,N/A,img0_image%d0_3737045508.798141.png,img0_image%d1_3737045509.569625.png,N/A,N/A,2022-153T20:11:48.798000,2022-153T20:11:49.569000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/150p000000T4,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:13:15.398000Z,2022-153T20:13:15.398000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737045593.762984,3737045594.490523,N/A,N/A,img0_image%d0_3737045593.762984.png,img0_image%d1_3737045594.490523.png,N/A,N/A,2022-153T20:13:13.762000,2022-153T20:13:14.490000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/150p000000T5,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:13:51.904000Z,2022-153T20:13:51.904000,Tables/220602_V40_3737037480_DiffMZI_30sep_T10p0ms/V40-00006-02772-Phase_180p000000T01-RDiffMZI_30sep_T10p0ms.cet,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/180p000000T0,N/A
2022_153,C16,2022-06-02T20:15:13.166000Z,2022-153T20:15:13.166000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737045711.160445,3737045711.813766,N/A,N/A,img0_image%d0_3737045711.160445.png,img0_image%d1_3737045711.813766.png,N/A,N/A,2022-153T20:15:11.160000,2022-153T20:15:11.813000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/180p000000T1,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:16:09.633000Z,2022-153T20:16:09.633000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737045766.830367,3737045768.054976,N/A,N/A,img0_image%d0_3737045766.830367.png,img0_image%d1_3737045768.054976.png,N/A,N/A,2022-153T20:16:06.830000,2022-153T20:16:08.054000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/180p000000T2,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:17:06.396000Z,2022-153T20:17:06.396000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737045824.417281,3737045825.265914,N/A,N/A,img0_image%d0_3737045824.417281.png,img0_image%d1_3737045825.265914.png,N/A,N/A,2022-153T20:17:04.417000,2022-153T20:17:05.265000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/180p000000T3,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:19:24.231000Z,2022-153T20:19:24.231000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737045962.291305,3737045963.076461,N/A,N/A,img0_image%d0_3737045962.291305.png,img0_image%d1_3737045963.076461.png,N/A,N/A,2022-153T20:19:22.291000,2022-153T20:19:23.076000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/180p000000T4,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:20:30.917000Z,2022-153T20:20:30.917000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737046028.747359,3737046029.456344,N/A,N/A,img0_image%d0_3737046028.747359.png,img0_image%d1_3737046029.456344.png,N/A,N/A,2022-153T20:20:28.747000,2022-153T20:20:29.456000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/180p000000T5,Found 2022/153 2022/153
