day_key,schema_variant,utc_iso,time,tab_name,start,stop,image0_time,image1_time,image2_time,image3_time,image0_name,image1_name,image2_name,image3_name,image0_human_time,image1_human_time,image2_human_time,image3_human_time,new_path,found
2020_266,A9,2020-09-22T23:24:22Z,2020-266T23:24:22,200922_X01_36835809042_pulse_AI_Cass_v5/X01-00009-00148-dBf_19000p000000T01-R.cet,3683661862.535,3683661881.596,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/19000p000000T0,
2020_266,A9,2020-09-22T23:24:41Z,2020-266T23:24:41,Sequences\Run_WFC_LongAWG_76s.cts,3683661862.535,3683661881.596,,,,,img0_image%d0_3683661965.706742.png,img0_image%d1_3683661966.319047.png,,,2020-266T23:26:05,2020-266T23:26:06,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/19000p000000T1,
2020_266,A9,2020-09-22T23:26:10Z,2020-266T23:26:10,Sequences\Run_WFC_LongAWG_76s.cts,3683661970.966,3683662030.966,,,,,img0_image%d0_3683662046.646195.png,img0_image%d1_3683662047.254594.png,,,2020-266T23:27:26,2020-266T23:27:27,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/19000p000000T2,
2020_266,A9,2020-09-22T23:27:42Z,2020-266T23:27:42,200922_X01_36835809042_pulse_AI_Cass_v5/X01-00010-00149-dBf_20000p000000T01-R.cet,3683662062.228,3683662071.226,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/20000p000000T0,
2020_266,A9,2020-09-22T23:33:28Z,2020-266T23:33:28,Sequences\Run_WFC_LongAWG_76s.cts,3683662408.406,3683662468.406,,,,,img0_image%d0_3683662483.642289.png,img0_image%d1_3683662484.241899.png,,,2020-266T23:34:43,2020-266T23:34:44,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/20000p000000T2,
2020_266,A9,2020-09-22T23:34:54Z,2020-266T23:34:54,200922_X01_36835809042_pulse_AI_Cass_v5/X01-00011-00150-dBf_21000p000000T01-R.cet,3683662494.923,3683662513.894,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/21000p000000T0,
2020_266,A9,2020-09-22T23:35:13Z,2020-266T23:35:13,Sequences\Run_WFC_LongAWG_76s.cts,3683662494.923,3683662513.894,,,,,img0_image%d0_3683662601.432328.png,img0_image%d1_3683662601.973344.png,,,2020-266T23:36:41,2020-266T23:36:41,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/21000p000000T1,
2020_266,A9,2020-09-22T23:36:46Z,2020-266T23:36:46,Sequences\Run_WFC_LongAWG_76s.cts,3683662606.084,3683662666.084,,,,,img0_image%d0_3683662679.987016.png,img0_image%d1_3683662680.559281.png,,,2020-266T23:37:59,2020-266T23:38:00,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/21000p000000T2,
2020_266,A9,2020-09-22T23:38:17Z,2020-266T23:38:17,200922_X01_36835809042_pulse_AI_Cass_v5/X01-00012-00151-dBf_22000p000000T01-R.cet,3683662697.043,3683662709.839,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/22000p000000T0,
2020_266,A9,2020-09-22T23:38:29Z,2020-266T23:38:29,Sequences\Run_WFC_LongAWG_76s.cts,3683662697.043,3683662709.839,,,,,img0_image%d0_3683662783.925492.png,img0_image%d1_3683662784.491899.png,,,2020-266T23:39:43,2020-266T23:39:44,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/22000p000000T1,
2020_266,A9,2020-09-22T23:39:47Z,2020-266T23:39:47,Sequences\Run_WFC_LongAWG_76s.cts,3683662787.929,3683662847.929,,,,,img0_image%d0_3683662868.802445.png,img0_image%d1_3683662869.415727.png,,,2020-266T23:41:08,2020-266T23:41:09,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/22000p000000T2,
2020_266,A9,2020-09-22T23:41:17Z,2020-266T23:41:17,200922_X01_36835809042_pulse_AI_Cass_v5/X01-00013-00152-dBf_23000p000000T01-R.cet,3683662877.582,3683662887.461,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/23000p000000T0,
2020_266,A9,2020-09-22T23:41:27Z,2020-266T23:41:27,Sequences\Run_WFC_LongAWG_76s.cts,3683662877.582,3683662887.461,,,,,img0_image%d0_3683662973.550492.png,img0_image%d1_3683662974.186234.png,,,2020-266T23:42:53,2020-266T23:42:54,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/23000p000000T1,
2020_266,A9,2020-09-22T23:42:56Z,2020-266T23:42:56,Sequences\Run_WFC_LongAWG_76s.cts,3683662976.059,3683663036.059,,,,,img0_image%d0_3683663051.338578.png,img0_image%d1_3683663051.924516.png,,,2020-266T23:44:11,2020-266T23:44:11,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/23000p000000T2,
2020_266,A9,2020-09-22T23:44:22Z,2020-266T23:44:22,200922_X01_36835809042_pulse_AI_Cass_v5/X01-00014-00153-dBf_24000p000000T01-R.cet,3683663062.088,3683663078.643,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/24000p000000T0,
2020_266,A9,2020-09-22T23:44:38Z,2020-266T23:44:38,Sequences\Run_WFC_LongAWG_76s.cts,3683663062.088,3683663078.643,,,,,img0_image%d0_3683663159.415727.png,img0_image%d1_3683663160.011430.png,,,2020-266T23:45:59,2020-266T23:46:00,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/24000p000000T1,
2020_266,A9,2020-09-22T23:46:02Z,2020-266T23:46:02,Sequences\Run_WFC_LongAWG_76s.cts,3683663162.556,3683663222.556,,,,,img0_image%d0_3683663236.834672.png,img0_image%d1_3683663237.433305.png,,,2020-266T23:47:16,2020-266T23:47:17,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/24000p000000T2,
2020_266,A9,2020-09-22T23:47:26Z,2020-266T23:47:26,200922_X01_36835809042_pulse_AI_Cass_v5/X01-00015-00154-dBf_25000p000000T01-R.cet,3683663246.006,3683663264.862,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/25000p000000T0,
2020_266,A9,2020-09-22T23:47:44Z,2020-266T23:47:44,Sequences\Run_WFC_LongAWG_76s.cts,3683663246.006,3683663264.862,,,,,img0_image%d0_3683663351.726274.png,img0_image%d1_3683663352.279008.png,,,2020-266T23:49:11,2020-266T23:49:12,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/25000p000000T1,
2020_266,A9,2020-09-22T23:49:15Z,2020-266T23:49:15,Sequences\Run_WFC_LongAWG_76s.cts,3683663355.386,3683663415.386,,,,,img0_image%d0_3683663429.724320.png,img0_image%d1_3683663430.289750.png,,,2020-266T23:50:29,2020-266T23:50:30,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/25000p000000T2,
2020_266,A9,2020-09-22T23:50:38Z,2020-266T23:50:38,200922_X01_36835809042_pulse_AI_Cass_v5/X01-00016-00155-dBf_26000p000000T01-R.cet,3683663438.808,3683663449.984,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/26000p000000T0,
2020_266,A9,2020-09-22T23:50:49Z,2020-266T23:50:49,Sequences\Run_WFC_LongAWG_76s.cts,3683663438.808,3683663449.984,,,,,img0_image%d0_3683663539.349320.png,img0_image%d1_3683663539.935258.png,,,2020-266T23:52:19,2020-266T23:52:19,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/26000p000000T1,
2020_266,A9,2020-09-22T23:52:23Z,2020-266T23:52:23,Sequences\Run_WFC_LongAWG_76s.cts,3683663543.468,3683663603.468,,,,,img0_image%d0_3683663617.446000.png,img0_image%d1_3683663618.035844.png,,,2020-266T23:53:37,2020-266T23:53:38,,,/OSS/ops/CAL_Ops_Files/2020/266/downlink/science/L1/200922_X01_36835809042_pulse_AI_Cass_v5/dBf/26000p000000T2,
2020_289,A9,2020-10-15T00:17:45Z,2020-289T00:17:45,201014_X01_36855612812_pulse_AI_Cass_v8/X01-00000-00161-Phase_0p000000T01-R.cet,3685565865.625,3685565897.941,,,,,not_applicable,not_applicable,,,not_applicable,not_applicable,,,/OSS/ops/CAL_Ops_Files/2020/289/downlink/science/L1/201014_X01_36855612812_pulse_AI_Cass_v8/Phase/0p000000T0,
2020_289,A9,2020-10-15T00:18:17Z,2020-289T00:18:17,Sequences\Run_WFC_LongAWG_76s.cts,3685565865.625,3685565897.941,,,,,img0_image%d0_3685565972.323242.png,img0_image%d1_3685565972.944336.png,,,2020-289T00:19:32,2020-289T00:19:32,,,/OSS/ops/CAL_Ops_Files/2020/289/downlink/science/L1/201014_X01_36855612812_pulse_AI_Cass_v8/Phase/0p000000T1,
