run_key,n_shots,utc_first,utc_last
201202_V32_3689792828_kickF48_slosh_HRC_v3,4,2020-12-04T01:21:38.918000Z,2020-12-04T01:30:06.449000Z
201202_Y05_3689792553_700msZHB3wfc_rfmax1,18,2020-12-02T23:26:03.637000Z,2020-12-02T23:50:32.230000Z
201203_Y05_3689873414_700msZHB3wfc_rfmax2,39,2020-12-03T23:21:43.131000Z,2020-12-07T21:11:19.350000Z
201203_Z02_3689859858ZH_Fesh_rfslice8scanfastV2,2,2020-12-03T22:06:52.638000Z,2020-12-03T22:10:51.964000Z
201203_Z02_3689861138ZH_Fesh_rfslice8scanfastV3,85,2020-12-03T22:28:48.351000Z,2020-12-14T23:18:58.045000Z
201204_V33_3689959645_kickA_3PAI_1p5ms_v1,94,2021-05-17T22:59:26.037000Z,2021-05-24T23:50:48.494000Z
201207_V33_3690219738_kickA_3PAI_3ms_v1,18,2020-12-08T01:49:51.603000Z,2020-12-08T02:10:19.766000Z
201208_Y04_3690294257_200ZHB3wfc_tof0,33,2020-12-08T19:58:58.465000Z,2020-12-22T00:34:46.590000Z
201208_Y04_3690294683_320ZHB3wfc_tof1,4,2020-12-08T21:19:14.392000Z,2020-12-08T21:23:41.833000Z
201208_Y05_3690292213_700msZHB3wfc_rfmax3,19,2020-12-08T21:55:45.137000Z,2020-12-08T22:26:52.192000Z
201208_Y05_3690295794_700msZHB3hrc_rfmax3,3,2020-12-09T00:55:08.959000Z,2020-12-09T00:59:02.656000Z
201209_V33_3690401701_kickA_3PAI_3p7ms_v3,54,2020-12-16T00:14:39.562000Z,2020-12-17T22:28:53.876000Z
201209_V33_3690401934_kickA_3PAI_2ms_v2,42,2020-12-12T00:17:18.599000Z,2020-12-12T01:10:12.786000Z
201209_X01_3690388229_2_pulse_AI_Cass_v18,28,2020-12-11T20:35:37.305000Z,2020-12-11T21:05:13.226000Z
201209_Y05_3690380089_thermZHB3hrc_rfmax1,7,2020-12-09T20:35:16.801000Z,2020-12-09T20:54:24.919000Z
201209_Y05_3690384980_KhfsZHB3wfc_rfmax1,20,2020-12-11T00:59:56.818000Z,2020-12-17T21:24:59.582000Z
201210_Z02_3690488532ZH_Fesh_rfslice8scanV2,111,2020-12-14T23:25:05.310000Z,2020-12-15T01:41:27.101000Z
201211_W03_3690565237_Bragg_ARP30_20p5tT2_v1,4,2020-12-11T22:16:34.086000Z,2020-12-11T22:22:42.664000Z
201211_W03_3690571367_201211_Bragg_ARP30_Test_v2,3,2020-12-17T23:15:17.825000Z,2020-12-17T23:18:03.105000Z
201215_W03_3690915947_201211_Bragg_ARP30Test_v2,22,2020-12-17T22:50:27.804000Z,2020-12-17T23:59:12.852000Z
201216_A05_3691006428_ZHB3wfc_rfmax1,42,2020-12-18T23:42:25.218000Z,2021-01-28T20:58:15.215000Z
201217_V33_3691092822_kickA_Bragg_25ms_tAIP_v1,65,2020-12-30T19:29:39.299000Z,2020-12-30T20:56:06.648000Z
201218_Y05_3691160758_KhfsZHB3wfc_rfmax2,15,2020-12-18T22:18:34.297000Z,2020-12-18T22:44:14.821000Z
201218_Y05_3691161993_KhfsZHB3wfc_rfmax3,9,2020-12-18T22:49:53.381000Z,2020-12-18T23:24:05.101000Z
201218_Y05_3691164070_KhfsZHB3wfc_rfmax4,18,2020-12-18T20:45:49.321000Z,2020-12-18T23:38:15.404000Z
201219_V32_3691183331_DKC_prep1_slosh_HRC_v2,32,2020-12-29T22:15:22.687000Z,2020-12-29T23:06:57.714000Z
201221_Y05_3691428932_KhfsZHB3wfcBEC_rfmax0,9,2020-12-22T00:39:32.081000Z,2020-12-22T00:56:56.134000Z
201230_W03_3692207270_BraggAI_ARP30_20msT_Phase_v1,8,2021-02-23T01:31:36.671000Z,2021-02-23T01:41:06.117000Z
201230_W03_3692207709_BraggAI_ARP30_20msT_Phase_v2,54,2021-01-20T20:28:06.766000Z,2021-02-19T22:13:15.540000Z
20261-A6-01-R200916_ZLH_3,671,2020-10-23T19:23:16.315000Z,2021-02-17T19:17:21.442000Z
20286-V32--R_ZZH_MA_Zp_HRC_kickF50,48,2020-10-16T20:38:15.901000Z,2020-10-16T21:20:57.554000Z
20286-V32--R_ZZH_MA_Zp_HRC_kickF52,48,2020-10-16T22:35:26.076000Z,2020-10-16T23:25:18.945000Z
20290-W3--R_NoBragg_28mstACZ_ARP30_v3,18,2020-10-16T23:40:26.601000Z,2020-10-16T23:57:09.960000Z
20295-W3--R_NoBragg_tACZ_HRC_ARP30_v14_2,96,2020-10-23T19:56:51.900000Z,2020-10-27T23:43:19.839000Z
20296-V34--R_ZZH_MA_Zp_HRC_kickF48_v1_1,72,2020-10-23T22:05:57.132000Z,2020-10-29T21:48:44.485000Z
20296-V34--R_ZZH_MA_Zp_HRC_kickF48_v2_1,80,2020-11-02T19:45:23.263000Z,2020-11-02T20:19:47.396000Z
20296-V34--R_ZZH_MA_Zp_HRC_kickF48_v3_1,24,2020-11-02T20:29:47.445000Z,2020-11-02T20:41:03.975000Z
20297-V32--R_ZZH_MA_Zp_WFC_kickF48_TOF_v1,40,2020-10-27T23:51:16.816000Z,2020-10-28T00:21:08.112000Z
20297-V32--R_ZZH_MA_Zp_WFC_kickF48_TOF_v2,64,2020-10-28T18:37:26.177000Z,2020-10-28T19:25:47.212000Z
20297-V32--R_ZZH_MA_Zp_WFC_kickF48_TOF_v3,40,2020-10-28T20:41:23.446000Z,2020-10-28T21:04:05.612000Z
20297-V32--R_ZZH_MA_Zp_WFC_kickF48_TOF_v4,92,2020-10-28T21:15:34.312000Z,2020-11-10T22:47:55.548000Z
20297-W3--R_NoBragg_tACZ_HRC_ARP30_v16_2,64,2020-10-23T21:06:17.458000Z,2020-10-23T21:59:11.788000Z
20300-V33--R_kickA_Bragg_15ms_v3,86,2020-10-30T20:44:54.701000Z,2020-10-30T21:37:34.103000Z
20300-V33--R_kickA_Bragg_15ms_v4,98,2020-11-02T23:54:35.548000Z,2020-11-03T00:50:16.180000Z
20300-V33--R_kickA_Bragg_19ms_v3,90,2020-11-09T22:29:12.742000Z,2020-11-09T23:23:24.828000Z
20300-V33--R_kickA_Bragg_25ms_v3,52,2020-11-03T00:56:49.879000Z,2020-11-03T01:13:28.518000Z
20303-W3--R_NoBragg_90tACZ_WFC_ARP30_v2,112,2020-10-29T18:29:24.035000Z,2020-10-29T19:37:12.653000Z
20304-W3--R_Bragg_90mstACZ_ARP30_v1,60,2020-10-30T22:48:23.511000Z,2020-10-30T23:24:02.634000Z
20305-W3--R_Bragg_90mstACZ_ARP30_v3,32,2020-11-02T20:56:57.703000Z,2020-11-02T21:11:33.375000Z
20308-Y16-01-RZHB1testApushHRC_tSlosh1,4,2020-11-03T20:55:20.464000Z,2020-11-03T20:56:40.598000Z
20308-Y4-01-R530msZHB1therm6p2MHz_rfmax1,96,2020-11-03T22:00:18.115000Z,2020-11-03T22:33:44.853000Z
20309-Z2--R,38,2020-11-10T21:09:20.983000Z,2020-11-10T21:42:23.742000Z
20310-V32--R_kickF48_WFC_ARP30_TOF_v3,73,2020-11-06T23:56:52.638000Z,2020-11-07T00:26:18.754000Z
20310-V32--R_kickF48_WFC_ARP30_TOF_v4,40,2020-11-12T21:38:07.561000Z,2020-11-12T22:05:12.007000Z
20310-V32--R_kickF48_WFC_ARP30_TOF_v5,32,2020-11-12T22:18:34.050000Z,2020-11-12T22:45:40.063000Z
20311-W3--R_NoBragg_90tACZ_WFC_ARP30_TOF_v3,132,2020-11-07T00:37:48.595000Z,2020-11-07T01:20:05.018000Z
20312-V32--R_kickF48_HRC_ARP30_TOF_v3,2,2020-11-11T23:08:10.295000Z,2020-11-11T23:09:56.467000Z
20314-W3--R_Bragg_90mstACZ_ARP30_dBf_v2,36,2020-11-09T21:50:02.224000Z,2020-11-09T22:21:22.066000Z
20314-W3--R_Bragg_90mstACZ_ARP30_dBf_v4,40,2020-11-10T01:04:14.912000Z,2020-11-10T01:33:52.959000Z
20314-W3--R_Bragg_90mstACZ_ARP30_tBP1_v3,85,2020-11-09T23:31:11.261000Z,2020-11-10T00:57:55.483000Z
20314-W3--R_Bragg_90mstACZ_ARP30_tBP3_v1,67,2020-11-09T20:51:56.799000Z,2020-11-09T21:38:02.062000Z
20318-V33--R_kickA_Bragg_19ms_AIRFD_v1,114,2020-11-13T22:14:10.743000Z,2020-11-13T23:32:55.991000Z
20318-V33--R_kickA_Bragg_25ms_AIRFD_v2,14,2020-11-14T00:11:19.867000Z,2020-11-14T00:20:54.009000Z
20318-V33--R_kickA_Bragg_25ms_AIRFD_v3,72,2020-11-14T00:24:43.287000Z,2020-11-14T01:08:54.869000Z
20322-V32--R_kickF48_slosh_WFC_v2,62,2020-12-02T20:56:22.697000Z,2020-12-02T21:52:01.480000Z
20322-V32--R_kickF48_slosh_WFC_v3,66,2020-12-02T22:18:06.962000Z,2020-12-02T23:01:31.041000Z
20323-X1--RCassSM3ramp4kicktestv3,28,2020-12-09T01:11:58.129000Z,2020-12-09T01:34:33.733000Z
20323-Y16-01-RZHB3wfc_tSlosh1,14,2020-12-03T01:17:39.355000Z,2020-12-03T01:37:55.498000Z
20324-V33--R_kickA_Bragg_15ms_v1,19,2020-11-20T00:10:47.444000Z,2020-11-20T00:33:45.813000Z
20324-V33--R_kickA_Bragg_15ms_v2,80,2020-11-23T19:10:08.767000Z,2020-11-23T20:08:33.452000Z
20324-W3--R_Bragg_90mstACZ_ARP30_tBP1_v1,6,2020-11-20T00:02:01.629000Z,2020-11-20T00:05:50.229000Z
20324-X1--R_2_pulse_AI_Cass_v23,46,2020-11-23T21:50:08.047000Z,2020-11-23T22:28:14.984000Z
20325-Y16-01-R700msZHB3hrc_tslosh2,52,2020-12-02T20:10:35.814000Z,2020-12-02T20:48:57.479000Z
20328-V33--R_kickA_3PAI_15ms_v1,44,2020-11-24T00:29:18.428000Z,2020-11-24T01:02:25.825000Z
20328-W3--R_Bragg_90mstACZ_ARP30_dBf_v4,55,2020-11-23T20:26:30.576000Z,2020-11-23T21:35:55.780000Z
20336-W3--R_Bragg_90mstACZ_ARP30_DRF1_v4,20,2020-12-02T00:30:30.359000Z,2020-12-02T01:03:20.531000Z
20337-V32--R_kickF48_slosh_HRC_v3,196,2020-12-04T00:21:23.855000Z,2020-12-18T21:58:52.355000Z
20337-Y16-01-R700msZHB2Vhrc_tslosh1,54,2020-12-02T23:54:29.518000Z,2020-12-03T01:06:00.202000Z
20339-V33--R_kickA_3PAI_1p5ms_v1,222,2020-12-05T00:59:39.038000Z,2021-03-08T23:59:44.350000Z
20339-W3--R_BraggAI_90mstACZ_ARP30_Phase_v1,107,2020-12-04T22:47:10.532000Z,2021-01-07T21:52:20.348000Z
20339-W3--R_BraggAI_90mstACZ_ARP30_Phase_v2,158,2020-12-05T00:02:23.483000Z,2021-01-11T20:42:50.679000Z
20342-V33--R_kickA_3PAI_3ms_v1,86,2020-12-08T00:47:52.256000Z,2020-12-08T01:39:43.525000Z
20343-Y5-01-RZHB3wfc_rfmax3,54,2020-12-08T19:13:47.565000Z,2020-12-08T19:52:28.852000Z
20343-Y5-01-RbecZHB3wfc_rfmax4,46,2020-12-08T22:34:52.500000Z,2020-12-08T23:11:46.087000Z
20344-V33--R_kickA_3PAI_2ms_v2,66,2020-12-11T21:10:01.103000Z,2020-12-11T21:47:39.240000Z
20344-V33--R_kickA_3PAI_5ms_v1,130,2020-12-09T19:35:08.204000Z,2020-12-09T22:24:24.012000Z
20344-V33--RkickA_3PAI_3p7ms_v3,69,2020-12-15T19:56:48.083000Z,2020-12-15T21:38:24.981000Z
20344-W3--R_Bragg_90mstACZ_ARP30_tT2_v1,77,2020-12-09T22:49:41.043000Z,2020-12-09T23:58:54.208000Z
20344-X1--R_2_pulse_AI_Cass_v18,254,2021-01-27T23:33:22.254000Z,2021-02-01T22:56:42.490000Z
20345-Y5-01-RthermZHB3hrc_rfmax2,58,2020-12-11T00:07:06.358000Z,2020-12-11T00:51:10.052000Z
20346-W3--R_Bragg_ARP30_20p5tT2_tBP3_v3,48,2020-12-11T23:24:26.465000Z,2020-12-11T23:58:36.681000Z
20346-W3--R_Bragg_ARP30_20p5tT2_v1,50,2020-12-11T22:24:50.778000Z,2020-12-11T23:10:22.384000Z
20346-X1--R_2_pulse_AI_Cass_v19,140,2020-12-15T21:44:54.248000Z,2020-12-15T23:32:44.869000Z
20350-W3--R_201211_Bragg_ARP30Test_v2,54,2020-12-16T01:08:08.723000Z,2020-12-16T01:46:28.818000Z
20350-W3--R_Bragg_ARP30_40p5tT2_tBP3_v1,88,2020-12-18T00:09:36.266000Z,2020-12-18T01:01:18.998000Z
20351-A5-01-RZH3wfc_rfmax0,28,2020-12-18T20:10:31.891000Z,2020-12-18T20:30:40.662000Z
20351-A5-01-RZH3wfc_rfmax1,26,2020-12-17T19:46:36.757000Z,2020-12-17T20:10:51.870000Z
20351-Y4-01-Rs380ZHB3wfc_tof3,4,2020-12-18T23:55:04.053000Z,2020-12-18T23:58:47.358000Z
20351-Z2--RZH_Fesh_rfscanBv1,124,2020-12-16T20:45:01.654000Z,2020-12-16T22:24:47.268000Z
20352-V33--R_kickA_Bragg_15ms_Det_v1,168,2020-12-18T01:21:26.306000Z,2020-12-22T21:01:52.271000Z
20352-V33--R_kickA_Bragg_25ms_tAIP_v1,70,2020-12-30T18:34:13.682000Z,2020-12-30T19:11:00.956000Z
20353-V32--RDKC_prep1_slosh_HRC_v1,72,2020-12-19T00:42:45.960000Z,2020-12-19T01:40:20.135000Z
20354-V32--RDKC_prep1_slosh_HRC_v2,70,2020-12-22T01:02:53.739000Z,2020-12-29T20:46:07.983000Z
20354-V32--RDKC_prep1_slosh_WFC_v1,34,2021-01-04T19:54:38.128000Z,2021-01-04T20:15:23.042000Z
20354-V32--RDKC_prep1_slosh_WFC_v2,48,2021-01-04T23:13:43.217000Z,2021-01-04T23:44:01.695000Z
20354-W3--R_Bragg_ARP30_TOF_HRC_v1,84,2020-12-22T21:18:12.039000Z,2020-12-22T22:42:20.881000Z
20357-X1--R_2_pulse_AI_Cass_v27,72,2020-12-22T22:54:10.445000Z,2021-01-20T23:59:50.755000Z
20358-X1--R_2_pulse_AI_Cass_v27B,50,2020-12-30T21:19:36.622000Z,2020-12-30T22:00:26.047000Z
20364-X1--R_2_pulse_AI_Cass_v28,68,2021-02-12T20:35:39.611000Z,2021-02-12T21:14:00.494000Z
