galaxy,--------------------------- disk (2*Re) ---------------------------,,,------------------------- 2nd disk (2*Re) -------------------------,,,---------------------------- bulge (2*Re) --------------------------,,,---------------------------------- bar ---------------------------------,,,,,--------------- nuclear bar ----------------,,,------------------------------------------------------------------------ lenses ------------------------------------------------------------------------,,,,,,------------------------------------------------------------------------------------------------------------------- rings -------------------------------------------------------------------------------------------------------------------,,,,,,,,------------------ center (edge) ------------------,,
,axis_ratio,PA,"Re[""]",axis_ratio,PA,"Re[""]",axis_ratio,PA,"Re[""]",axis_ratio,PA,"R[""]",Ref.,QFlag,axis_ratio,PA,"R[""]",axis_rat,PA,"R[""]",axis_rat,PA,"R[""]",axis_rat,PA,"R[""]","halfwidth[""]",axis_rat,PA,"R[""]","halfwidth[""]",axis_rat,PA,"R[""]"
NGC2997,1.408,82.8,123.6,-999,-999,-999,-999,-999,-999,-999.000,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,4.7,1.4,-999,-999,-999,-999,1.192,108.1,10.0
NGC3059,1.09,-80,43.2,-999,-999,-999,-999,-999,-999,2.750,40,20.9,3,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC3137,2.86,7,57.0,-999,-999,-999,-999,-999,-999,-999.000,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.000,-0.3,4.0
NGC3239,2.02,72.9,58.7,-999,-999,-999,-999,-999,-999,-999.000,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC3351,1.414,8.4,97.3,-999,-999,-999,1.379,12.2,6.4,1.852,112,51.4,1,1,-999,-999,-999,1.37,17,29.8,-999,-999,-999,1.408,26,6.4,1.85,1.282,9,66.2,18.5,-999,-999,-999
NGC3507,1.152,80.1,48.8,-999,-999,-999,1.256,97.1,2.0,2.326,112,25.5,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC3511,2.618,78.4,63.6,-999,-999,-999,-999,-999,-999,2.000,70,18.8,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.000,256.8,5.0
NGC3521,1.946,162.8,65.6,2.208,162.3,182.9,1.475,163.2,6.2,-999.000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC3596,1.074,108.2,36.2,-999,-999,-999,1.08,112.2,3.1,-999.000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC3621,2.174,-18.5,82.5,-999,-999,-999,-999,-999,-999,-999.000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.000,0.0,4.0
NGC3626,1.447,163.2,38.4,-999,-999,-999,1.585,166.2,2.4,2.000,167,19.8,1,2,-999,-999,-999,1.613,170,20.7,-999,-999,-999,1.471,154,46.8,11.5,-999,-999,-999,-999,-999,-999,-999
