#--------------------------------------------------------------------------------
# Table of adopted parameters for spiral arms in PHANGS environmental masks v5
#
# This table lists only galaxies where at least one spiral arm segment was retained after Quality Assurance (see README)
#
# Col.1: Galaxy name
# Col.2: Number of spiral arm segment (same label as in the mask FITS file)
# Col.3: Width of the segment in pc (negative values = width set to average arm width for that galaxy if low CO coverage, or modified by hand)
# Col.4: Minimum radius (px) of the fitted segment on the deprojected Spitzer/IRAC 3.6um map
# Col.5: Maximum radius (px) of the fitted segment on the deprojected Spitzer/IRAC 3.6um map
# Col.6: Intercept of ln(R) vs theta linear fit in polar coordinates (R=px in the deprojected image)
# Col.7: Slope of ln(R) vs theta linear fit in polar coordinates (R=px in the deprojected image)
# Col.8: Adopted X centre (px)
# Col.9: Adopted Y centre (px) 
# Col.10: Adopted disc position angle for deprojection (deg)
# Col.11: Adopted disc inclination for deprojection (deg)
# Col.12: Adopted distance (Mpc); it only affects the effective width of segments (transformation from pc to arcsec)
# Col.13: Indicator of whether galaxy is in S4G survey or not ("S4G" or "non-S4G")
# Col.14: Azimuthal extension of the segment along the arm inwards from the minimum radius of the fitted segment (deg)
# Col.15: Azimuthal extension of the segment along the arm outwards from the maximum radius of the fitted segment (deg)
#
#--------------------------------------------------------------------------------
# Galaxy,spN,widthPC,rmin_fit,rmax_fit,aa,bb,XC[px],YC[px],PA,INC,dMpc,matchS4G,azimuthMIN azimuthMAX
#--------------------------------------------------------------------------------
NGC1637,sp4,-500,36.60,125.76,5.81297,-0.36841,233.88,268.58,32.67,38.78,9.8,S4G,20,0
NGC1672,sp1,-1000,228.50,208.84,6.37047,-0.56224,915.27,380.63,148.51,26.58,11.9,S4G,30,10
NGC1672,sp2,1000,152.81,151.24,5.07237,-0.01981,915.27,380.63,148.51,26.58,11.9,S4G,10,0
NGC1672,sp3,1000,154.82,82.24,7.84238,-1.03708,915.27,380.63,148.51,26.58,11.9,S4G,-10,0
NGC1672,sp4,-1000,216.98,140.79,6.56293,-0.31804,915.27,380.63,148.51,26.58,11.9,S4G,30,10
NGC1672,sp5,1000,168.85,88.43,9.06313,-0.66680,915.27,380.63,148.51,26.58,11.9,S4G,10,0
NGC1672,sp6,1000,76.37,54.04,6.23794,-0.27450,915.27,380.63,148.51,26.58,11.9,S4G,0,0
NGC2090,sp1,-500,75.04,21.67,4.44277,-0.19198,1304.65,933.05,18.10,63.91,11.8,non-S4G,0,0
NGC2090,sp2,-500,19.57,9.74,15.71036,-1.78884,1304.65,933.05,18.10,63.91,11.8,non-S4G,0,0
NGC2090,sp3,-500,68.65,13.04,5.36740,-0.23766,1304.65,933.05,18.10,63.91,11.8,non-S4G,0,0
NGC2566,sp1,-2000,224.19,223.03,5.43218,-0.00428,740.13,713.48,61.85,46.03,23.7,non-S4G,0,0
NGC2566,sp2,2000,53.02,246.93,-0.90382,0.80971,740.13,713.48,61.85,46.03,23.7,non-S4G,20,5
NGC2566,sp3,-2000,256.76,260.30,5.38512,0.02015,740.13,713.48,61.85,46.03,23.7,non-S4G,10,10
NGC2566,sp4,1500,129.64,78.08,5.48079,-0.54516,740.13,713.48,61.85,46.03,23.7,non-S4G,0,0
NGC2566,sp5,1500,77.13,74.59,4.42392,-0.03807,740.13,713.48,61.85,46.03,23.7,non-S4G,0,0
NGC2566,sp6,2000,71.24,226.54,2.21710,0.69692,740.13,713.48,61.85,46.03,23.7,non-S4G,0,0
NGC2997,sp1,1500,63.31,227.83,2.48298,0.32585,867.97,1122.74,89.42,46.67,11.3,non-S4G,30,30
NGC2997,sp2,-1500,94.17,71.82,5.01789,-0.27650,867.97,1122.74,89.42,46.67,11.3,non-S4G,30,0
