k,t_mid_days_since_20240827_RECONSTRUCTED,t_start_days_RECONSTRUCTED,t_end_days_RECONSTRUCTED,date_mid_RECONSTRUCTED,pha1,pha1err,pha2,pha2err,pha3,pha3err,pha4,pha4err,phaave,phaaveerr
23,145.227273,142.000000,148.454545,2025-01-19,-0.4563,0.05807,-0.46491,0.06588,0.24584,0.16173,0.16292,0.06628,-0.12811,0.02903
24,151.681818,148.454545,154.909091,2025-01-25,-0.67041,0.08304,-0.487,0.08409,0.15246,0.12588,0.38353,0.05851,-0.15535,0.04152
25,158.136364,154.909091,161.363636,2025-02-01,-0.62621,0.08745,-0.57537,0.07094,0.39515,0.10979,0.15038,0.06565,-0.16401,0.04372
26,164.590909,161.363636,167.818182,2025-02-07,-0.57692,0.07581,-0.50334,0.06569,0.39217,0.12187,0.18281,0.07233,-0.12632,0.03791
27,171.045455,167.818182,174.272727,2025-02-14,-0.57233,0.08415,-0.34026,0.07355,0.14817,0.15152,0.4213,0.06889,-0.08578,0.04208
28,177.500000,174.272727,180.727273,2025-02-20,-0.63462,0.07904,-0.56959,0.07221,0.22208,0.12379,0.29967,0.09358,-0.17061,0.03952
29,183.954545,180.727273,187.181818,2025-02-26,-0.63335,0.08648,-0.30234,0.06623,0.17944,0.13457,0.35602,0.09104,-0.10006,0.04324
30,190.409091,187.181818,193.636364,2025-03-05,-0.60362,0.07673,-0.39929,0.08357,0.14338,0.11905,0.42247,0.07975,-0.10927,0.03836
31,196.863636,193.636364,200.090909,2025-03-11,-0.43253,0.08626,-0.40387,0.07642,0.25564,0.16782,0.29222,0.0792,-0.07214,0.04313
32,203.318182,200.090909,206.545455,2025-03-18,-0.4805,0.07313,-0.43162,0.05544,0.19229,0.11357,0.39121,0.11647,-0.08216,0.03656
33,209.772727,206.545455,213.000000,2025-03-24,-0.49726,0.09184,-0.50779,0.0738,0.28162,0.1496,0.14022,0.08618,-0.1458,0.04592
