sector,ring_index,r_inner_kpc,r_center_kpc,r_outer_kpc,co_pixel_count,hi_pixel_count,mean_i_co21_k_kms,co_sigma_mean_k_kms,co_annular_snr,mean_i_hi_k_kms,sigma_mol_he_faceon_msun_pc2,sigma_hi_he_faceon_msun_pc2,q_mol_to_hi,f_sigma,eligible
phi_000_045,1,0.0,0.11790668724583915,0.2358133744916783,12,40,3.1027776035674464,0.08627362891627981,35.964380338960716,640.5024836200826,9.426995789977731,5.77205846785112,1.6332121101135186,0.6202356824354383,True
phi_000_045,2,0.2358133744916783,0.35372006173751747,0.4716267489833566,31,123,5.695132447109167,0.09331330051199514,61.0323760477969,932.0186594065359,17.303202633838605,8.39913401243534,2.0601174607073,0.6732151582936737,True
phi_000_045,3,0.4716267489833566,0.5895334362291957,0.7074401234750349,52,209,4.169473101427114,0.08075267263415854,51.632632895216624,974.5950975212427,12.667877107397842,8.782822907382236,1.442346867400696,0.5905577486361449,True
phi_000_045,4,0.7074401234750349,0.8253468107208741,0.9432534979667132,70,286,1.7566548871488354,0.0668474888290464,26.27854715143074,809.9837878418059,5.337146370579668,7.29938431309438,0.7311776091862091,0.42235851787034184,True
phi_000_045,5,0.9432534979667132,1.0611601852125523,1.1790668724583915,91,372,1.892116783022851,0.06196803759435753,30.53375347156607,969.402318750977,5.748712678341624,8.736026800514415,0.6580465936760994,0.3968806402582009,True
phi_000_045,6,1.1790668724583915,1.2969735597042307,1.4148802469500699,113,454,1.8339421539248175,0.05259458956330851,34.869407084492735,987.5121817574264,5.571963953921242,8.8992286471758,0.6261176305082939,0.3850383384088772,True
phi_000_045,7,1.4148802469500699,1.5327869341959088,1.650693621441748,130,531,0.9028377653441836,0.04362997395409378,20.69306221209584,728.3971291019005,2.743041526130286,6.564144440515398,0.4178825665687073,0.294722973835547,True
phi_000_045,8,1.650693621441748,1.7686003086875872,1.8865069959334264,157,616,0.8904727687687549,0.036324762534081845,24.51420757212839,698.2566339453764,2.705473648069792,6.292525352779536,0.42995037705723815,0.3006750331728666,True
phi_000_045,9,1.8865069959334264,2.0044136831792656,2.1223203704251046,180,708,1.0827537097490105,0.034488217503382074,31.39488753348388,882.9618550126025,3.2896700851685177,7.957045573359626,0.4134285841195141,0.2925005117093034,True
phi_000_045,10,2.1223203704251046,2.2402270576709435,2.358133744916783,196,780,1.3664852351093049,0.03548024989060344,38.51396873817407,1198.8825568637187,4.151715721948979,10.804048994771541,0.38427405539887316,0.27759969487266456,True
phi_000_045,11,2.358133744916783,2.4760404321626224,2.5939471194084613,215,866,1.0837580864361676,0.034688099523061545,31.24293637694556,1279.760137752033,3.292721626726151,11.53289882371711,0.28550685105766765,0.22209671681077633,True
phi_000_045,12,2.5939471194084613,2.7118538066543003,2.8297604939001397,234,946,0.9148312626384746,0.03068715230239648,29.81153981391202,1227.1666321249395,2.779480698686642,11.058938460920286,0.25133340858244935,0.20085247213783566,True
phi_000_045,13,2.8297604939001397,2.947667181145979,3.065573868391818,259,1030,0.6792025080927118,0.028947137920382355,23.463546204838075,1451.3108514205367,2.063583022183281,13.078873702533555,0.15777987226710027,0.13627795407959933,True
phi_000_045,14,3.065573868391818,3.183480555637657,3.301387242883496,277,1107,0.8929068122786885,0.029369542257232865,30.402476295278028,1692.3070986915943,2.712868866436195,15.2506754759149,0.17788516126518966,0.15102080161543058,True
phi_000_045,15,3.301387242883496,3.419293930129335,3.5372006173751744,259,1195,0.9641815052198696,0.029973843040765863,32.16743024604941,1532.8290398931606,2.929418782716349,13.813496537089788,0.21206931748603572,0.1749646777016769,True
phi_000_045,16,3.5372006173751744,3.655107304621014,3.773013991866853,167,1287,0.49133129727815833,0.03547533289992475,13.849941836041248,1212.4229955612534,1.492784421803247,10.926072259069894,0.13662589688294113,0.12020304768492529,True
phi_000_045,17,3.773013991866853,3.890920679112692,4.008827366358531,129,1358,0.6668198936390937,0.03942552766836012,16.91340441270065,1194.0663560215576,2.0259616167080825,10.76064652005084,0.18827508300110118,0.15844402167012933,True
phi_000_045,18,4.008827366358531,4.12673405360437,4.244640740850209,83,1440,0.9984881014296677,0.0483642238026113,20.645179906221443,1226.3310948455778,3.0336505967098475,11.051408794522606,0.27450351833997955,0.21538074582761135,True
phi_000_045,19,4.244640740850209,4.362547428096049,4.480454115341888,54,1520,1.0214560723600916,0.05560567253541978,18.369637948528418,1133.0038820251145,3.103432899191499,10.210365796536628,0.3039492375722903,0.2330989802472579,True
phi_000_045,20,4.480454115341888,4.598360802587727,4.716267489833566,25,1605,0.6137544480043566,0.05770487328698088,10.636093852108488,1035.0331550578976,1.864735838870575,9.32747653591031,0.19991857730131368,0.16661011928904554,True
phi_000_045,21,4.716267489833566,4.834174177079405,4.952080864325245,4,1683,0.250461471449422,0.05991928609065748,4.179980900815064,800.2430439521248,0.7609630913252157,7.211603009056607,0.10551927087078547,0.0954476992406211,True
phi_045_090,1,0.0,0.11790668724583915,0.2358133744916783,10,42,1.9892729436519665,0.07854653049241297,25.3260447174572,546.7455135105387,6.04389681147705,4.927142597763947,1.2266535200787396,0.5508955520099788,True
phi_045_090,2,0.2358133744916783,0.35372006173751747,0.4716267489833566,30,124,2.433095646477237,0.08269412175511145,29.422836772879123,676.1591075097618,7.392338525836426,6.093387616637815,1.2131738518737694,0.5481602138244329,True
phi_045_090,3,0.4716267489833566,0.5895334362291957,0.7074401234750349,51,206,3.28748593852754,0.08613148340573469,38.16822616465766,825.1469341121191,9.988184801410771,7.436031038231421,1.3432145118891745,0.5732358284202635,True
phi_045_090,4,0.7074401234750349,0.8253468107208741,0.9432534979667132,72,288,2.8108755685525773,0.0760691327274162,36.95159216058086,821.2611335008064,8.540126150333805,7.401013112623795,1.1539131224841424,0.5357287211070594,True
phi_045_090,5,0.9432534979667132,1.0611601852125523,1.1790668724583915,92,369,1.951528409521062,0.06227928226664137,31.335113997714753,705.8898291142198,5.929219702831687,6.361313921033108,0.9320746902974335,0.4824216656727412,True
phi_045_090,6,1.1790668724583915,1.2969735597042307,1.4148802469500699,116,453,1.709018141781485,0.051181995097399784,33.391002803411794,766.9064468053342,5.192414309374271,6.911181398256719,0.7513063266844666,0.42899766604899026,True
phi_045_090,7,1.4148802469500699,1.5327869341959088,1.650693621441748,134,535,1.493436344483679,0.044622805880072336,33.468006214074,828.5382177713567,4.53742418272594,7.466592492812444,0.6076967756166946,0.377992159238852,True
phi_045_090,8,1.650693621441748,1.7686003086875872,1.8865069959334264,152,620,1.0980736558825508,0.03872798079133037,28.353496191786096,774.3306811265815,3.3362158213300526,6.978086860260649,0.4780989242666774,0.3234552954592498,True
phi_045_090,9,1.8865069959334264,2.0044136831792656,2.1223203704251046,177,700,0.8199687455335473,0.03545617261833368,23.126262226892415,662.5365106788254,2.4912652144873726,5.970623962470991,0.41725374603165305,0.29441004985873154,True
phi_045_090,10,2.1223203704251046,2.2402270576709435,2.358133744916783,195,786,0.7952931868782325,0.03328447479602153,23.89381811646592,595.8814551442877,2.416294843652045,5.369944203122198,0.4499664712060063,0.31032888010972265,True
phi_045_090,11,2.358133744916783,2.4760404321626224,2.5939471194084613,215,863,0.7417859730123775,0.0306212946222499,24.22451376283041,657.2324638750279,2.2537268660867493,5.92282513412812,0.38051551667471495,0.27563291544253915,True
phi_045_090,12,2.5939471194084613,2.7118538066543003,2.8297604939001397,237,945,0.8048988489768191,0.029268542351207693,27.500476085157924,806.2681600849551,2.4454791899807056,7.265899945420896,0.3365693456213764,0.25181584982775734,True
phi_045_090,13,2.8297604939001397,2.947667181145979,3.065573868391818,258,1028,0.8668994959088854,0.02889762254956884,29.998990208342235,949.4786276857928,2.6338522905640263,8.556479159928124,0.30781963484454405,0.23536856814443954,True
phi_045_090,14,3.065573868391818,3.183480555637657,3.301387242883496,278,1113,0.7945784593624398,0.028142575370894034,28.234035047987067,1063.809759497283,2.4141233269843303,9.586804559732434,0.25181730908799377,0.2011613893336035,True
phi_045_090,15,3.301387242883496,3.419293930129335,3.5372006173751744,300,1196,0.6909238546952089,0.026771372731067986,25.808308809409564,1174.8862085781216,2.0991953345022702,10.587799520551636,0.1982654970400214,0.16546040717168328,True
phi_045_090,16,3.5372006173751744,3.655107304621014,3.773013991866853,319,1277,0.5511827060968152,0.025422083449456328,21.681256266531637,1305.2711203099734,1.674627612339687,11.762797827487569,0.14236643670151158,0.12462414171811881,True
phi_045_090,17,3.773013991866853,3.890920679112692,4.008827366358531,337,1365,0.5468076484304933,0.024294375503308336,22.50758198563411,1383.8659429743757,1.6613351191381422,12.471075973616363,0.13321505880108822,0.1175549669645462,True
phi_045_090,18,4.008827366358531,4.12673405360437,4.244640740850209,362,1434,0.5978336211336317,0.023507816795560937,25.431269365963526,1389.9704486308474,1.8163644803462886,12.526088349785981,0.14500651996258054,0.12664252773627827,True
phi_045_090,19,4.244640740850209,4.362547428096049,4.480454115341888,380,1525,0.6188343303862406,0.023012408346138942,26.891332757445596,1386.5825070198919,1.880169761615326,12.495557012961843,0.15046706278599628,0.1307878057991699,True
phi_045_090,20,4.480454115341888,4.598360802587727,4.716267489833566,401,1605,0.5597379689783876,0.022482000019673726,24.897160772554383,1377.4381192995713,1.7006205894302808,12.4131499311406,0.13700153457133155,0.12049371122703313,True
phi_045_090,21,4.716267489833566,4.834174177079405,4.952080864325245,419,1690,0.5595494520257441,0.022262739165843017,25.133899645387856,1319.533187501302,1.70004782890859,11.891324238869293,0.142965391806543,0.12508287025259393,True
phi_045_090,22,4.952080864325245,5.069987551571083,5.187894238816923,418,1772,0.5685009518407927,0.02213844947403526,25.67934816336394,1253.5335925686436,1.7272446705299254,11.296551337049038,0.15290017448644888,0.13262221471564714,True
phi_045_090,23,5.187894238816923,5.305800926062762,5.423707613308601,409,1856,0.5245222024889321,0.021991897710395097,23.85070217205502,1165.4713112672853,1.593626494186316,10.502954669615516,0.15173125509115945,0.13174189240800793,True
phi_045_090,24,5.423707613308601,5.54161430055444,5.6595209878002795,413,1939,0.42008755009490906,0.02182471760397064,19.248246768539225,1035.8333277925155,1.2763285262899708,9.334687505308104,0.13672964687507705,0.12028334727694771,True
phi_045_090,25,5.6595209878002795,5.777427675046118,5.895334362291957,405,2011,0.33391440513010767,0.022500829246370858,14.840093290515703,928.8668009100876,1.01451347584668,8.370730201382072,0.12119772725193988,0.10809665798110026,True
phi_045_090,26,5.895334362291957,6.013241049537797,6.131147736783636,270,2099,0.20664461589423633,0.027571926271701824,7.494747151791277,894.292618691834,0.6278367878563893,8.059155763584466,0.07790354303527529,0.0722732043499052,True
phi_045_090,27,6.131147736783636,6.249054424029476,6.366961111275314,164,2183,0.20812378477126808,0.03636839403350526,5.722655352324027,820.377811420996,0.6323308639901128,7.39305282078887,0.08553041339188491,0.07879135613034893,True
phi_045_090,28,6.366961111275314,6.484867798521153,6.602774485766992,84,2269,0.19079741949140683,0.05299840747447943,3.600059484490782,719.8135807389481,0.5796891366677706,6.4867915117139905,0.08936453956026723,0.08203364100353414,True
phi_045_090,29,6.602774485766992,6.7206811730128315,6.838587860258671,18,2347,0.16346494440207265,0.06209971457713134,2.632297837682329,689.3693579762355,0.49664640511634583,6.212435301880941,0.07994391586918838,0.07402598847445319,False
phi_090_135,1,0.0,0.11790668724583915,0.2358133744916783,11,41,2.82949426182623,0.07551593028433565,37.46883937167301,553.4244372105381,8.596694285576177,4.9873314948948755,1.7237062133078405,0.6328532074736736,True
phi_090_135,2,0.2358133744916783,0.35372006173751747,0.4716267489833566,31,123,2.8865838554433854,0.07813239128576449,36.944778061199735,697.3424473017768,8.770146407333689,6.284286916719832,1.3955674722616556,0.5825623733920966,True
phi_090_135,3,0.4716267489833566,0.5895334362291957,0.7074401234750349,50,206,3.095328112326496,0.077779593363046,39.79614675894054,773.727457398022,9.404362417065288,6.972650749208024,1.3487499597098658,0.5742416105784512,True
phi_090_135,4,0.7074401234750349,0.8253468107208741,0.9432534979667132,75,292,2.578692699487048,0.06965574986789855,37.02052887776693,768.8332930781094,7.8346979151070455,6.928545685873777,1.1307853437526971,0.5306894695273153,True
phi_090_135,5,0.9432534979667132,1.0611601852125523,1.1790668724583915,92,369,2.342436482220289,0.06018113482027153,38.92310255058963,773.9383328944944,7.116893853685089,6.974551109825201,1.020408875297991,0.5050506794806524,True
phi_090_135,6,1.1790668724583915,1.2969735597042307,1.4148802469500699,111,455,2.07921399034979,0.05399124207366898,38.510208517018036,708.8433558974266,6.317159667181476,6.387930413107706,0.9889211776977075,0.49721486642444096,True
phi_090_135,7,1.4148802469500699,1.5327869341959088,1.650693621441748,133,534,1.536704631369416,0.04547888269196009,33.78941039026624,664.205131431674,4.6688838006638855,5.985661182142139,0.7800113736128634,0.4382058368704047,True
phi_090_135,8,1.650693621441748,1.7686003086875872,1.8865069959334264,153,618,1.6887675515403728,0.04207559534842626,40.13650995442272,774.0929530756292,5.130888072776446,6.975944510707546,0.7355115948673218,0.42380102618879417,True
phi_090_135,9,1.8865069959334264,2.0044136831792656,2.1223203704251046,179,697,1.6123388298215537,0.03885517533425405,41.49611514943143,887.3425341045789,4.898678958901093,7.99652322800488,0.6126011041580262,0.3798838426802879,True
phi_090_135,10,2.1223203704251046,2.2402270576709435,2.358133744916783,195,785,1.2451605621312518,0.034908913685923804,35.66884301625615,923.6205393998886,3.78310174843392,8.32345212058002,0.45451114437002305,0.31248378269860605,True
phi_090_135,11,2.358133744916783,2.4760404321626224,2.5939471194084613,217,861,1.0440993410197181,0.0316816730293596,32.9559408069184,870.4288973525422,3.172228676910214,7.8441014923623085,0.4044094380980369,0.2879569355826321,True
phi_090_135,12,2.5939471194084613,2.7118538066543003,2.8297604939001397,233,953,0.783865573994816,0.029069643729841804,26.965090500580477,779.431680309054,2.3815749660760304,7.024055870964995,0.33905979818876913,0.25320736134964705,True
phi_090_135,13,2.8297604939001397,2.947667181145979,3.065573868391818,259,1029,0.5682252923892989,0.02655162129671521,21.40077572059963,742.7079347078546,1.7264071498240545,6.693110071082125,0.2579379588097725,0.20504823548994938,True
