table,table_doi,description,location,qual_RATIO,qual_RE,qual_RE-1,qual_SQRT(S),qual_YRAP(CM),x0_name,x0_value,x0_low,x0_high,y0_name,y0_value,y0_stat_sym,y0_sys_total_sym,y0_sys_uncorr_sym,qual_ETARAP(CM),x1_name,x1_value,x1_low,x1_high
Table 51,10.17182/hepdata.77284.v1/t51,(\Omega^{-}+\bar{\Omega}^{+})/(\pi^{+}+\pi^{-}) double-ratio vs multiplicity for pp collisions at \sqrt{s}=7 TeV.,Data from Figure 4,(\Omega^{-}+\bar{\Omega}^{+})/(\pi^{+}+\pi^{-}) DOUBLE-RATIO,P P --> (\pi^{+}+\pi^{-}) + X,P P --> (\Omega^{-}+\bar{\Omega}^{+}) + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},12.48,12.11,12.85,(h/\pi) / (h/\pi)^{pp}_{INEL>0},1.312,0.05037,,0.07691,,,,,
Table 51,10.17182/hepdata.77284.v1/t51,(\Omega^{-}+\bar{\Omega}^{+})/(\pi^{+}+\pi^{-}) double-ratio vs multiplicity for pp collisions at \sqrt{s}=7 TeV.,Data from Figure 4,(\Omega^{-}+\bar{\Omega}^{+})/(\pi^{+}+\pi^{-}) DOUBLE-RATIO,P P --> (\pi^{+}+\pi^{-}) + X,P P --> (\Omega^{-}+\bar{\Omega}^{+}) + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},8.99,8.72,9.26,(h/\pi) / (h/\pi)^{pp}_{INEL>0},1.05,0.03354,,0.05635,,,,,
Table 51,10.17182/hepdata.77284.v1/t51,(\Omega^{-}+\bar{\Omega}^{+})/(\pi^{+}+\pi^{-}) double-ratio vs multiplicity for pp collisions at \sqrt{s}=7 TeV.,Data from Figure 4,(\Omega^{-}+\bar{\Omega}^{+})/(\pi^{+}+\pi^{-}) DOUBLE-RATIO,P P --> (\pi^{+}+\pi^{-}) + X,P P --> (\Omega^{-}+\bar{\Omega}^{+}) + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},6.06,5.87,6.25,(h/\pi) / (h/\pi)^{pp}_{INEL>0},0.9614,0.06085,,0.0928,,,,,
Table 51,10.17182/hepdata.77284.v1/t51,(\Omega^{-}+\bar{\Omega}^{+})/(\pi^{+}+\pi^{-}) double-ratio vs multiplicity for pp collisions at \sqrt{s}=7 TeV.,Data from Figure 4,(\Omega^{-}+\bar{\Omega}^{+})/(\pi^{+}+\pi^{-}) DOUBLE-RATIO,P P --> (\pi^{+}+\pi^{-}) + X,P P --> (\Omega^{-}+\bar{\Omega}^{+}) + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},2.89,2.75,3.03,(h/\pi) / (h/\pi)^{pp}_{INEL>0},0.5943,0.06213,,0.08514,,,,,
Table 52,10.17182/hepdata.77284.v1/t52,"Event multiplicity classes, their corresponding fraction of the INEL>0 cross-section and their corresponding average charged particle density at midrapidity (|\eta|<0.5). The value of in the inclusive (INEL>0) class is 5.96 \pm 0.23. The uncertainties are the quadratic sum of statistical and systematic contributions.",Data from Table 1,,P P --> CHARGED X,,7000.0 GEV,,Class name,Class I,,,{\rm d}N_{\rm ch}/{\rm d}\eta,21.3,0.6,,,-0.5 0.5,\sigma/\sigma_{\rm INEL>0} (%),,0.0,0.95
Table 52,10.17182/hepdata.77284.v1/t52,"Event multiplicity classes, their corresponding fraction of the INEL>0 cross-section and their corresponding average charged particle density at midrapidity (|\eta|<0.5). The value of in the inclusive (INEL>0) class is 5.96 \pm 0.23. The uncertainties are the quadratic sum of statistical and systematic contributions.",Data from Table 1,,P P --> CHARGED X,,7000.0 GEV,,Class name,Class II,,,{\rm d}N_{\rm ch}/{\rm d}\eta,16.5,0.5,,,-0.5 0.5,\sigma/\sigma_{\rm INEL>0} (%),,0.95,4.7
Table 52,10.17182/hepdata.77284.v1/t52,"Event multiplicity classes, their corresponding fraction of the INEL>0 cross-section and their corresponding average charged particle density at midrapidity (|\eta|<0.5). The value of in the inclusive (INEL>0) class is 5.96 \pm 0.23. The uncertainties are the quadratic sum of statistical and systematic contributions.",Data from Table 1,,P P --> CHARGED X,,7000.0 GEV,,Class name,Class III,,,{\rm d}N_{\rm ch}/{\rm d}\eta,13.5,0.4,,,-0.5 0.5,\sigma/\sigma_{\rm INEL>0} (%),,4.7,9.5
Table 52,10.17182/hepdata.77284.v1/t52,"Event multiplicity classes, their corresponding fraction of the INEL>0 cross-section and their corresponding average charged particle density at midrapidity (|\eta|<0.5). The value of in the inclusive (INEL>0) class is 5.96 \pm 0.23. The uncertainties are the quadratic sum of statistical and systematic contributions.",Data from Table 1,,P P --> CHARGED X,,7000.0 GEV,,Class name,Class IV,,,{\rm d}N_{\rm ch}/{\rm d}\eta,11.5,0.3,,,-0.5 0.5,\sigma/\sigma_{\rm INEL>0} (%),,9.5,14.0
Table 52,10.17182/hepdata.77284.v1/t52,"Event multiplicity classes, their corresponding fraction of the INEL>0 cross-section and their corresponding average charged particle density at midrapidity (|\eta|<0.5). The value of in the inclusive (INEL>0) class is 5.96 \pm 0.23. The uncertainties are the quadratic sum of statistical and systematic contributions.",Data from Table 1,,P P --> CHARGED X,,7000.0 GEV,,Class name,Class V,,,{\rm d}N_{\rm ch}/{\rm d}\eta,10.1,0.3,,,-0.5 0.5,\sigma/\sigma_{\rm INEL>0} (%),,14.0,19.0
Table 52,10.17182/hepdata.77284.v1/t52,"Event multiplicity classes, their corresponding fraction of the INEL>0 cross-section and their corresponding average charged particle density at midrapidity (|\eta|<0.5). The value of in the inclusive (INEL>0) class is 5.96 \pm 0.23. The uncertainties are the quadratic sum of statistical and systematic contributions.",Data from Table 1,,P P --> CHARGED X,,7000.0 GEV,,Class name,Class VI,,,{\rm d}N_{\rm ch}/{\rm d}\eta,8.45,0.25,,,-0.5 0.5,\sigma/\sigma_{\rm INEL>0} (%),,19.0,28.0
Table 52,10.17182/hepdata.77284.v1/t52,"Event multiplicity classes, their corresponding fraction of the INEL>0 cross-section and their corresponding average charged particle density at midrapidity (|\eta|<0.5). The value of in the inclusive (INEL>0) class is 5.96 \pm 0.23. The uncertainties are the quadratic sum of statistical and systematic contributions.",Data from Table 1,,P P --> CHARGED X,,7000.0 GEV,,Class name,Class VII,,,{\rm d}N_{\rm ch}/{\rm d}\eta,6.72,0.21,,,-0.5 0.5,\sigma/\sigma_{\rm INEL>0} (%),,28.0,38.0
Table 52,10.17182/hepdata.77284.v1/t52,"Event multiplicity classes, their corresponding fraction of the INEL>0 cross-section and their corresponding average charged particle density at midrapidity (|\eta|<0.5). The value of in the inclusive (INEL>0) class is 5.96 \pm 0.23. The uncertainties are the quadratic sum of statistical and systematic contributions.",Data from Table 1,,P P --> CHARGED X,,7000.0 GEV,,Class name,Class VIII,,,{\rm d}N_{\rm ch}/{\rm d}\eta,5.4,0.17,,,-0.5 0.5,\sigma/\sigma_{\rm INEL>0} (%),,38.0,48.0
Table 52,10.17182/hepdata.77284.v1/t52,"Event multiplicity classes, their corresponding fraction of the INEL>0 cross-section and their corresponding average charged particle density at midrapidity (|\eta|<0.5). The value of in the inclusive (INEL>0) class is 5.96 \pm 0.23. The uncertainties are the quadratic sum of statistical and systematic contributions.",Data from Table 1,,P P --> CHARGED X,,7000.0 GEV,,Class name,Class IX,,,{\rm d}N_{\rm ch}/{\rm d}\eta,3.9,0.14,,,-0.5 0.5,\sigma/\sigma_{\rm INEL>0} (%),,48.0,68.0
Table 52,10.17182/hepdata.77284.v1/t52,"Event multiplicity classes, their corresponding fraction of the INEL>0 cross-section and their corresponding average charged particle density at midrapidity (|\eta|<0.5). The value of in the inclusive (INEL>0) class is 5.96 \pm 0.23. The uncertainties are the quadratic sum of statistical and systematic contributions.",Data from Table 1,,P P --> CHARGED X,,7000.0 GEV,,Class name,Class X,,,{\rm d}N_{\rm ch}/{\rm d}\eta,2.26,0.12,,,-0.5 0.5,\sigma/\sigma_{\rm INEL>0} (%),,68.0,100.0
