window_id,map,tracer,ell_index,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11
wl_LRGz4_LRGz4,LRGz4,LRGz4,0,1.4398300690151196e-05,1.9106289864324627e-06,4.343259514020111e-07,1.5831479758750023e-07,7.62663047351039e-08,4.234933360752716e-08,2.532002160527711e-08,1.7469716730982587e-08,1.2781577772982893e-08,1.0103738287057768e-08,7.973655139469707e-09,6.345554883599544e-09
wl_LRGz4_LRGz4,LRGz4,LRGz4,1,3.954130281430048e-05,5.691835534908732e-06,1.3099688794378796e-06,4.724245921638185e-07,2.2764216682631104e-07,1.263031797558204e-07,7.567061685197852e-08,5.209865566680814e-08,3.812633639376249e-08,3.015268648348213e-08,2.3783621952265946e-08,1.8936468386814253e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,2,6.771202428484585e-05,9.474933710352905e-06,2.176789995670003e-06,7.860657433641455e-07,3.7782056345217584e-07,2.0949217622541777e-07,1.256562427132351e-07,8.647855101431878e-08,6.32419696796782e-08,5.0029052240986175e-08,3.9475710486559563e-08,3.142401840278236e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,3,9.169191123777516e-05,1.327294074692227e-05,3.062201502834418e-06,1.0997042467065555e-06,5.294131063545604e-07,2.933597572450923e-07,1.760634896926043e-07,1.2101494240928823e-07,8.848430722852384e-08,7.006316528666585e-08,5.52547812047112e-08,4.398287675457273e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,4,0.0001136473679633301,1.7030039775153814e-05,3.889877283101373e-06,1.4001153353660228e-06,6.717662820746381e-07,3.7253247786492064e-07,2.234639042040408e-07,1.536605002131163e-07,1.1230277001100458e-07,8.894633360029966e-08,7.013282809470557e-08,5.581480497979618e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,5,0.00012607223046052994,2.0757778768521727e-05,4.723007242158838e-06,1.6896329026629835e-06,8.121182515949826e-07,4.4957854050124856e-07,2.6978142137586086e-07,1.8546735204714253e-07,1.3556486452083862e-07,1.0737062133954326e-07,8.465289929385908e-08,6.737836263445845e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,6,0.00011811894619606857,2.414694773479565e-05,5.3951505980263065e-06,1.9389671057959518e-06,9.308453791207904e-07,5.143724918438052e-07,3.0895375955971625e-07,2.1233108503358503e-07,1.5514432720437163e-07,1.2288125619259896e-07,9.691855876609578e-08,7.710345265298732e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,7,0.00012357201863570302,2.7737117750801462e-05,6.147977874296146e-06,2.1980232606828264e-06,1.0560933759421534e-06,5.830583298315053e-07,3.506332465969943e-07,2.407348324536133e-07,1.759962241484815e-07,1.3934620511042553e-07,1.0992018212017691e-07,8.745213047477337e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,8,-0.00017201041899074117,3.0278757745249878e-05,5.403301038127302e-06,1.9587182966988626e-06,9.428680428487165e-07,5.198617473619676e-07,3.1280387003211796e-07,2.1474835460807865e-07,1.5692319082059605e-07,1.242564656372689e-07,9.806385982758924e-08,7.795881448605999e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,9,-0.0001993672021937034,3.368805177899195e-05,5.959162917232022e-06,2.1528287523712563e-06,1.0350877306786204e-06,5.701255242127315e-07,3.4358882913675867e-07,2.3565913498360427e-07,1.7233427240368163e-07,1.3640201942245127e-07,1.0765096329381205e-07,8.56021696277285e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,10,-0.0019814666539749613,3.0100556598979004e-05,-1.675395077621258e-06,-3.607913896473199e-07,-1.7295346322169037e-07,-9.084402573252508e-08,-5.62943973641437e-08,-3.849325193713381e-08,-2.815822446859215e-08,-2.2445296117097542e-08,-1.7407059858208694e-08,-1.407611612337566e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,11,-0.0019412895356028359,3.292365635488724e-05,-1.1491247280596884e-06,-1.7975688098118828e-07,-8.883867049549645e-08,-4.5106260578061285e-08,-2.8206892269594508e-08,-1.941120138233142e-08,-1.4047416759278941e-08,-1.1374362967204922e-08,-8.678946880770095e-09,-7.09203780536952e-09
wl_LRGz4_LRGz4,LRGz4,LRGz4,12,-0.002226450403937321,3.348192145608083e-05,-2.2321720938691573e-06,-5.343332331384092e-07,-2.6174888815213994e-07,-1.4169913369662317e-07,-8.632238322069317e-08,-5.922360892620078e-08,-4.324793388267359e-08,-3.4412542447965985e-08,-2.6896860419539496e-08,-2.1559373887158792e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,13,-0.0021300478124806096,3.6292396381868515e-05,-1.4869569138716708e-06,-2.9031055537392985e-07,-1.4706663582975387e-07,-7.968191413864711e-08,-4.859660516709421e-08,-3.341586213542572e-08,-2.4281057182595626e-08,-1.9456250773904933e-08,-1.514698181998182e-08,-1.2141981870276944e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,14,-0.0018580245607955476,3.487046193754952e-05,-8.591016930000204e-07,-1.026290248780178e-07,-5.89943697879485e-08,-3.352477574602401e-08,-1.9683825634343907e-08,-1.3880015974370002e-08,-9.954664450028725e-09,-7.988589341328573e-09,-6.296445725806616e-09,-5.00894302789463e-09
wl_LRGz4_LRGz4,LRGz4,LRGz4,15,-0.0014852628315048144,3.2191884373680506e-05,1.8152135828456459e-10,1.277374109902292e-07,5.573680967364849e-08,2.8282280986663256e-08,1.772666146489943e-08,1.1796158890067461e-08,8.771625765372271e-09,6.8206932034172685e-09,5.335497747091256e-09,4.332189521671313e-09
wl_LRGz4_LRGz4,LRGz4,LRGz4,16,-0.000651656671704074,1.9843054948658843e-05,8.439374345879312e-07,3.19361524320381e-07,1.454314077781652e-07,7.767154134854168e-08,4.716825142770047e-08,3.2243960998169825e-08,2.3451254116514422e-08,1.8720474703375283e-08,1.4541645588609609e-08,1.170081078434562e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,17,2.5452710227858934e-06,1.1967864876322268e-05,1.7936328871544518e-06,5.65528010133026e-07,2.641051861043247e-07,1.4097219586238525e-07,8.567653147654907e-08,5.855905248567182e-08,4.277091047657659e-08,3.391031934773578e-08,2.6526969115248497e-08,2.1283488012370843e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,18,0.005518827416835921,-0.00010591443627549326,1.916823711083283e-06,1.422576757690409e-07,9.054819785916643e-08,4.9727788768973493e-08,3.0499188116531174e-08,2.151631818443263e-08,1.5473337709198023e-08,1.275002405295945e-08,9.746332085632516e-09,7.870854854263791e-09
wl_LRGz4_LRGz4,LRGz4,LRGz4,19,0.006752825782141385,-0.00012575736065253206,2.848174952237678e-06,3.1293646280614606e-07,1.7378042607166647e-07,9.42023029253354e-08,5.803347117016245e-08,4.030844979709467e-08,2.9222168675513182e-08,2.3475530340013617e-08,1.827585016772434e-08,1.4691109541427967e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,20,0.033218799583984576,-0.0007253069058822817,-3.8584302752044255e-07,-3.042367162030151e-06,-1.2385750950285557e-06,-6.550684118804367e-07,-3.939430360661715e-07,-2.6585524638704084e-07,-1.9530188020557773e-07,-1.5290891215014007e-07,-1.2019630305259192e-07,-9.629601785337335e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,21,0.034513651186814244,-0.0007447253077808279,5.389460333405196e-07,-2.8678707145708375e-06,-1.1491578317660578e-06,-6.081332837372633e-07,-3.655671463621002e-07,-2.4626761708859015e-07,-1.810606803677617e-07,-1.417720740866702e-07,-1.1137886647192853e-07,-8.92011279058501e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,22,0.04059746611649936,-0.0008706693765220333,6.04389746441202e-07,-3.3480925904668615e-06,-1.349483945968569e-06,-7.14456915407614e-07,-4.291794522692064e-07,-2.8955359328422355e-07,-2.1276987058919646e-07,-1.6652174927706207e-07,-1.3089710448870955e-07,-1.0486317536490643e-07
wl_LRGz4_LRGz4,LRGz4,LRGz4,23,0.04134427015423129,-0.0008767447914338448,1.7510622731339361e-06,-3.082689889909325e-06,-1.2295605319440404e-06,-6.487361838727915e-07,-3.8998590235858946e-07,-2.630605315047523e-07,-1.9314898904837934e-07,-1.5133452627101616e-07,-1.1880391726885937e-07,-9.52002682693357e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,24,0.042357844161467643,-0.0008795084574365504,2.6846229074736217e-06,-2.8331298696094883e-06,-1.1262573808279126e-06,-5.930442322836125e-07,-3.56688177100912e-07,-2.4015950443558045e-07,-1.7660249126163973e-07,-1.3807266559891185e-07,-1.0855292953676556e-07,-8.698309042441675e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,25,0.04284165605261563,-0.0008739918563630261,3.7552375459241004e-06,-2.5139120348786446e-06,-9.897693368232393e-07,-5.184309428107861e-07,-3.1246643704589106e-07,-2.1021937489444177e-07,-1.5434185626626123e-07,-1.2084783124819785e-07,-9.493037233775136e-08,-7.607327271927105e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,26,0.04326229887852541,-0.0008612080390167215,4.87215495019774e-06,-2.1751708539145825e-06,-8.509671424317969e-07,-4.4382894229384213e-07,-2.679400918779999e-07,-1.7963048520138347e-07,-1.3224612797192495e-07,-1.032807491857867e-07,-8.12265089425622e-08,-6.511900853500629e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,27,0.04342770783257416,-0.0008464602820579389,6.101600348930289e-06,-1.815502056138612e-06,-6.94806341368228e-07,-3.590883068281367e-07,-2.1719355529377223e-07,-1.456896127827792e-07,-1.069926944055709e-07,-8.37014201004507e-08,-6.575304377842555e-08,-5.271337809797465e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,28,0.04361223201609997,-0.0008240308175026588,7.1362091268624445e-06,-1.4301476425640726e-06,-5.397265617160846e-07,-2.7744955520309474e-07,-1.679102303661346e-07,-1.1229215553144203e-07,-8.269468855834179e-08,-6.443901814142395e-08,-5.077245309740458e-08,-4.06749479002479e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,29,0.04377247944006829,-0.0008058852257179045,8.484420171319733e-06,-1.0643900537817783e-06,-3.792170053095685e-07,-1.9329106453615799e-07,-1.1725411725144006e-07,-7.833756253962502e-08,-5.760484901256571e-08,-4.4939355960822526e-08,-3.533433920447042e-08,-2.834208765985093e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,30,0.04385687663149984,-0.0007783557739336117,9.944416972814287e-06,-6.675882348834321e-07,-2.1814581542041828e-07,-1.0876233715509786e-07,-6.577889449743869e-08,-4.4003575246116694e-08,-3.245875184357309e-08,-2.5109474998341343e-08,-1.9845834999016424e-08,-1.5941089959668377e-08
wl_LRGz4_LRGz4,LRGz4,LRGz4,31,0.043888965426268925,-0.0007457136470391815,1.1163469979425651e-05,-2.784382259223577e-07,-5.2604836148007573e-08,-2.0840380960250146e-08,-1.3689197272770084e-08,-8.600822109969151e-09,-6.4936099821157065e-09,-4.8223317688656215e-09,-3.927313001920174e-09,-3.1575325378447264e-09
