file,tracer,region,z,dNdz
LRGz2_dNdz_north,LRGz2,north,0.005,0.002
LRGz2_dNdz_north,LRGz2,north,0.015,0.002
LRGz2_dNdz_north,LRGz2,north,0.025,0.0
LRGz2_dNdz_north,LRGz2,north,0.035,0.006
LRGz2_dNdz_north,LRGz2,north,0.045,0.005
LRGz2_dNdz_north,LRGz2,north,0.055,0.008
LRGz2_dNdz_north,LRGz2,north,0.065,0.021
LRGz2_dNdz_north,LRGz2,north,0.07500000000000001,0.019
LRGz2_dNdz_north,LRGz2,north,0.08499999999999999,0.02
LRGz2_dNdz_north,LRGz2,north,0.095,0.019
LRGz2_dNdz_north,LRGz2,north,0.10500000000000001,0.011
LRGz2_dNdz_north,LRGz2,north,0.11499999999999999,0.018
LRGz2_dNdz_north,LRGz2,north,0.125,0.011
LRGz2_dNdz_north,LRGz2,north,0.135,0.016
LRGz2_dNdz_north,LRGz2,north,0.14500000000000002,0.021
LRGz2_dNdz_north,LRGz2,north,0.155,0.011
LRGz2_dNdz_north,LRGz2,north,0.165,0.017
LRGz2_dNdz_north,LRGz2,north,0.175,0.011
LRGz2_dNdz_north,LRGz2,north,0.185,0.011
LRGz2_dNdz_north,LRGz2,north,0.195,0.022
LRGz2_dNdz_north,LRGz2,north,0.20500000000000002,0.019
LRGz2_dNdz_north,LRGz2,north,0.215,0.025
LRGz2_dNdz_north,LRGz2,north,0.225,0.014
LRGz2_dNdz_north,LRGz2,north,0.235,0.022
LRGz2_dNdz_north,LRGz2,north,0.245,0.021
LRGz2_dNdz_north,LRGz2,north,0.255,0.021
LRGz2_dNdz_north,LRGz2,north,0.265,0.026
LRGz2_dNdz_north,LRGz2,north,0.275,0.025
LRGz2_dNdz_north,LRGz2,north,0.28500000000000003,0.026
LRGz2_dNdz_north,LRGz2,north,0.295,0.029
LRGz2_dNdz_north,LRGz2,north,0.305,0.039
LRGz2_dNdz_north,LRGz2,north,0.315,0.059
LRGz2_dNdz_north,LRGz2,north,0.325,0.035
LRGz2_dNdz_north,LRGz2,north,0.335,0.064
LRGz2_dNdz_north,LRGz2,north,0.345,0.055
LRGz2_dNdz_north,LRGz2,north,0.355,0.056
LRGz2_dNdz_north,LRGz2,north,0.365,0.059
LRGz2_dNdz_north,LRGz2,north,0.375,0.08
LRGz2_dNdz_north,LRGz2,north,0.385,0.08
LRGz2_dNdz_north,LRGz2,north,0.395,0.081
LRGz2_dNdz_north,LRGz2,north,0.405,0.08
LRGz2_dNdz_north,LRGz2,north,0.415,0.084
LRGz2_dNdz_north,LRGz2,north,0.425,0.106
LRGz2_dNdz_north,LRGz2,north,0.435,0.138
LRGz2_dNdz_north,LRGz2,north,0.445,0.148
LRGz2_dNdz_north,LRGz2,north,0.455,0.203
LRGz2_dNdz_north,LRGz2,north,0.46499999999999997,0.213
LRGz2_dNdz_north,LRGz2,north,0.475,0.285
LRGz2_dNdz_north,LRGz2,north,0.485,0.379
LRGz2_dNdz_north,LRGz2,north,0.495,0.586
LRGz2_dNdz_north,LRGz2,north,0.505,0.944
LRGz2_dNdz_north,LRGz2,north,0.515,1.267
