window_id,map,tracer,ell_index,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11
wl_DR6_LRGz1,DR6,LRGz1,2915,1.5366071086328738e-11,-1.1006562761346049e-10,1.1295597189239535e-10,-7.284325753439338e-11,7.888134211033654e-11,2.4717524789124455e-11,6.280222186676837e-11,4.9304583065738276e-11,-6.909536206934263e-11,2.914215672257792e-11,-4.230730039910386e-11,-2.8657213970349054e-11
wl_DR6_LRGz1,DR6,LRGz1,2916,-4.226340468293399e-11,-9.313519154452664e-11,1.0277257477137026e-10,-7.317351761135161e-11,8.866718302611577e-11,2.6610375958725852e-11,6.031437628635823e-11,4.8614273504140526e-11,-7.602041688820867e-11,3.264651773194715e-11,-4.051288866027933e-11,-3.175268949101753e-11
wl_DR6_LRGz1,DR6,LRGz1,2917,-1.3472031331530814e-11,-1.1792746795686309e-10,1.108924056057626e-10,-5.872977374112403e-11,6.732244708062221e-11,3.3450199186589906e-11,5.5019750509930196e-11,4.851329093204022e-11,-6.945878458318286e-11,2.81255155867783e-11,-3.8836023523181886e-11,-2.981191167790726e-11
wl_DR6_LRGz1,DR6,LRGz1,2918,-2.7419361205633472e-11,-1.085984488056154e-10,1.0423586146064567e-10,-6.183835298331362e-11,7.472104154380314e-11,3.992446543375231e-11,4.921921022085328e-11,5.1066255593088054e-11,-7.857876951245344e-11,3.090892340757305e-11,-3.748931150129182e-11,-3.0230479817359e-11
wl_DR6_LRGz1,DR6,LRGz1,2919,2.2791134946909108e-11,-1.0669914327418271e-10,1.086641555869127e-10,-5.387733826728232e-11,4.965422040545131e-11,4.672126137723795e-11,4.597266610395159e-11,4.737045106824093e-11,-6.853532852136051e-11,2.7207104809380036e-11,-3.690315947647722e-11,-2.7008776863150998e-11
wl_DR6_LRGz1,DR6,LRGz1,2920,-6.801395985642555e-12,-6.669768360053597e-11,8.766470069884378e-11,-4.3028542753191805e-11,5.556388477415427e-11,4.4924612095242214e-11,4.3769425333198133e-11,4.7416725323437254e-11,-7.273836613313313e-11,2.8615394876951024e-11,-3.644952975085244e-11,-2.6536988565378284e-11
wl_DR6_LRGz1,DR6,LRGz1,2921,2.6497394766838653e-11,-7.455311757486143e-11,9.696648662438602e-11,-3.8013424010623357e-11,3.068864791157741e-11,5.403657178987364e-11,4.534520445532733e-11,4.0147809647085596e-11,-6.151226542478879e-11,2.429951013554298e-11,-3.734461780300418e-11,-2.4565248159872243e-11
wl_DR6_LRGz1,DR6,LRGz1,2922,5.69148196795487e-11,-4.519825724768072e-11,7.317801072970913e-11,-2.198421043555362e-11,2.996043374131005e-11,5.0827187016599517e-11,4.390687708395993e-11,4.304175745644404e-11,-6.815208918117979e-11,2.644208085337449e-11,-3.652756080641919e-11,-2.5402507750677732e-11
wl_DR6_LRGz1,DR6,LRGz1,2923,5.636260973178874e-11,-7.985289309374077e-11,9.479181478302042e-11,-1.5988840130140523e-11,1.0639279992544491e-11,5.5657135726650456e-11,4.5325121687311216e-11,3.946456240699147e-11,-6.092380849035028e-11,2.332746662931939e-11,-3.728043125994432e-11,-2.298192501052188e-11
wl_DR6_LRGz1,DR6,LRGz1,2924,8.563269683226101e-11,-6.733226855462066e-11,8.138590455807063e-11,-8.533497558354141e-12,8.856823681170326e-12,5.742001782348994e-11,4.042658062422275e-11,4.509822169034801e-11,-6.877342534371294e-11,2.4545324532246157e-11,-3.5005377951004636e-11,-2.2715523559542164e-11
wl_DR6_LRGz1,DR6,LRGz1,2925,6.800766563458433e-11,-1.0459095025087414e-10,1.0223231625691868e-10,-3.1951458598535792e-12,-5.867415545311066e-12,5.7912722943739445e-11,4.1207837746713185e-11,4.359133504428518e-11,-6.143272493440509e-11,2.208544373663076e-11,-3.757804778440232e-11,-1.966127409809686e-11
wl_DR6_LRGz1,DR6,LRGz1,2926,5.3329411317568e-11,-7.085497891996568e-11,9.396215371662061e-11,3.0173785943547656e-12,-8.765421830517096e-12,5.957757204212369e-11,3.817300384279856e-11,4.698588742519402e-11,-6.702345509345444e-11,2.334303473137471e-11,-3.6265319405847974e-11,-1.9164290181534992e-11
wl_DR6_LRGz1,DR6,LRGz1,2927,4.815526653234123e-11,-1.1797540663622903e-10,1.0786268001612722e-10,8.236462467699126e-12,-2.4439567639037126e-11,6.574673303072783e-11,3.3305245577116806e-11,4.675929512071692e-11,-5.7648701433019715e-11,1.9823208510026243e-11,-3.920768142126253e-11,-1.7125931933582968e-11
wl_DR6_LRGz1,DR6,LRGz1,2928,5.3449096436094784e-11,-1.0156801218134794e-10,9.858177052000441e-11,1.988896323787679e-11,-2.4088357744396163e-11,6.47060179257504e-11,2.93742647972004e-11,5.41855143395037e-11,-6.692626881516628e-11,2.3747465661356548e-11,-4.0222517578318404e-11,-1.7375063911142995e-11
wl_DR6_LRGz1,DR6,LRGz1,2929,4.272582481675272e-11,-1.1132532619578421e-10,9.67774837562128e-11,2.924631255752169e-11,-4.08846768335932e-11,7.139034661497623e-11,2.118287555720435e-11,5.843770539470957e-11,-5.96270075513894e-11,2.1589529627598328e-11,-4.2543317029593774e-11,-1.5174530660036933e-11
wl_DR6_LRGz1,DR6,LRGz1,2930,3.49845204776491e-11,-9.722367279351205e-11,8.805594644379323e-11,3.636918921745067e-11,-3.153530115010782e-11,6.043301582462851e-11,2.2373656905325118e-11,6.358765134563399e-11,-6.77475801452343e-11,2.4801824327937816e-11,-4.2210868589057247e-11,-1.5520701185353713e-11
